股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2542,興富發,46.8,5,5111051,1022,46.95,44.15,6.34%
2610,華航,20.25,5,4057735,811,20.4,19.85,2.77%
2633,台灣高鐵,26.0,5,5312970,1062,26.2,25.6,2.34%
2855,統一證,46.6,5,3354061,670,48.5,45.25,7.18%
2883,凱基金,31.4,5,61513751,12302,31.75,30.55,3.93%
2884,玉山金,37.75,5,43804010,8760,38.2,36.3,5.23%
2885,元大金,68.3,4,8965195,1793,70.5,67.5,4.44%
2886,兆豐金,46.6,5,31309143,6261,50.9,44.95,13.24%
2887,台新金,37.15,5,71403227,14280,37.8,35.1,7.69%
2890,永豐金,39.6,5,31728037,6345,40.95,38.4,6.64%
5880,合庫金,24.9,4,18190678,3638,25.0,23.85,4.82%
