股票代碼,公司名稱,符合策略數,符合策略
2359,所羅門,4,"外資買超, 大戶持有, 強勢股, 盤整突破"
2324,仁寶,3,"外資買超, 強勢股, 盤整突破"
6265,方土昶,3,"外資買超, 大戶持有, 盤整突破"
3498,陽程,3,"外資買超, 大戶持有, 盤整突破"
1513,中興電,3,"外資買超, 大戶持有, 盤整突破"
2436,偉詮電,2,"大戶持有, 隔日衝"
6770,力積電,2,"外資買超, 大戶持有"
2887,台新金,2,"外資買超, 投信連續"
9945,潤泰新,2,"外資買超, 盤整突破"
2357,華碩,2,"外資買超, 盤整突破"
2603,長榮,2,"外資買超, 投信連續"
1319,東陽,2,"外資買超, 盤整突破"
8039,台虹,2,"外資買超, 強勢股"
2915,潤泰全,2,"外資買超, 盤整突破"
3605,宏致,2,"外資買超, 大戶持有"
5351,鈺創,2,"外資買超, 大戶持有"
6213,聯茂,2,"外資買超, 大戶持有"
2464,盟立,2,"外資買超, 大戶持有"
2465,麗臺,2,"大戶持有, 盤整突破"
3234,光環,2,"大戶持有, 盤整突破"
6152,百一,2,"大戶持有, 盤整突破"
6603,富強鑫,2,"大戶持有, 盤整突破"
