排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8103,電子工業,瀚荃,42.3,73.3,,,,,
2,4931,電腦及週邊類,新盛力,18.0,59.4,156.0,174.5,156.0,167.0,7.1
3,3535,光電業,晶彩科,8.2,23.4,78.3,93.6,77.2,89.0,13.7
4,6706,光電業,惠特,5.5,21.5,82.4,110.0,82.1,108.5,31.7
5,5475,電子零組件類,德宏,7.9,21.4,61.0,72.5,56.8,68.9,13.0
6,2605,航運業,新興,5.4,12.8,26.05,31.55,25.8,28.4,9.0
7,5608,航運業,四維航,2.8,10.0,18.55,20.75,18.15,18.85,1.6
8,6683,半導體類,雍智科技,2.0,9.8,392.0,481.0,389.0,463.5,18.2
9,3043,其他電子業,科風,1.2,8.5,21.35,25.2,20.8,22.65,6.1
10,8054,半導體類,安國,4.0,8.4,142.0,160.5,140.5,147.5,3.9
11,2009,鋼鐵工業,第一銅,3.9,6.8,39.5,48.75,39.25,45.85,16.1
12,6426,通信網路業,統新,2.6,6.6,70.4,85.0,69.8,77.6,10.2
13,3441,光電業類,聯一光,1.8,6.4,36.0,40.5,35.1,38.0,5.6
14,6179,其他,亞通,1.7,6.0,30.65,33.75,30.0,31.85,3.9
15,4979,通信網路類,華星光,2.7,5.8,223.0,252.5,220.5,239.5,7.4
16,2406,光電業,國碩,1.7,5.6,21.35,23.55,19.95,23.35,9.4
17,3236,電子零組件類,千如,1.8,5.4,27.6,30.6,25.85,26.9,-2.5
18,3455,光電業類,由田,1.3,5.3,90.9,99.5,89.8,97.5,7.3
19,5284,其他,jpp-KY,2.8,5.3,283.5,334.5,278.5,324.0,14.3
20,1560,電機機械,中砂,2.7,5.0,317.5,346.0,316.5,342.0,7.7
21,1558,電機機械,伸興,1.6,5.0,99.2,106.0,98.7,103.0,3.8
22,6163,通信網路類,華電網,2.6,4.9,33.45,48.3,33.2,43.45,29.9
23,7402,光電業類,邑錡,2.0,4.7,142.0,151.0,126.0,130.5,-8.1
24,6510,半導體類,精測,2.6,4.6,1815.0,1960.0,1755.0,1900.0,4.7
25,6443,光電業,元晶,0.7,4.6,12.9,13.4,12.7,13.05,1.2
26,2471,資訊服務業,資通,1.0,4.4,50.7,51.1,50.0,50.1,-1.2
27,5392,光電業類,能率,1.5,4.3,44.5,54.0,44.5,51.0,14.6
28,5201,資訊服務類,凱衛,1.9,4.1,43.2,46.9,43.2,46.0,6.5
29,3213,電腦及週邊類,茂訊,0.9,4.1,102.5,104.0,96.5,98.2,-4.2
30,6215,其他電子業,和椿,1.3,4.1,106.0,120.5,102.0,113.5,7.1
31,4953,資訊服務類,緯軟,1.7,3.8,126.0,135.0,124.5,131.5,4.4
32,2641,航運業,正德,1.2,3.6,20.9,23.1,20.6,21.55,3.1
33,2399,電子工業,映泰,0.7,3.5,22.85,25.1,21.65,25.05,9.6
34,6435,半導體類,大中,1.8,3.4,114.0,117.0,110.0,111.0,-2.6
35,3013,電子工業,晟銘電,1.7,3.3,127.5,136.0,126.5,133.5,4.7
36,3189,半導體業,景碩,2.2,3.3,142.0,162.0,139.0,157.0,10.6
37,3105,半導體類,穩懋,1.6,3.2,130.0,154.5,128.5,147.5,13.5
38,3363,通信網路類,上詮,1.5,3.2,371.5,426.0,366.0,407.0,9.6
39,2612,航運業,中航,2.4,3.2,59.3,78.6,58.2,69.5,17.2
40,3360,電子通路類,尚立,0.8,3.1,12.25,12.8,12.25,12.65,3.3
41,4927,電子工業,泰鼎-KY,1.1,3.1,20.85,23.8,20.65,23.8,14.1
42,6275,電子零組件類,元山,0.9,3.1,43.8,51.2,43.8,51.2,16.9
43,5386,電腦及週邊類,青雲,1.2,3.1,73.8,73.8,70.1,71.6,-3.0
44,5481,其他,新華,1.9,3.1,20.35,23.5,20.35,22.4,10.1
45,2491,光電業,吉祥全,2.2,3.1,14.8,21.9,14.6,19.8,33.8
46,6438,其他電子業,迅得,1.0,2.9,132.0,142.5,131.5,139.5,5.7
47,6799,半導體業,來頡,1.0,2.9,77.9,87.8,77.9,83.1,6.7
48,8277,半導體類,商丞,0.4,2.8,7.97,8.9,7.97,8.8,10.4
49,6830,其他電子業,汎銓,1.0,2.7,158.5,172.5,156.5,169.0,6.6
50,2369,半導體業,菱生,0.8,2.7,20.15,23.5,19.75,22.35,10.9
