股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
4931,新盛力,BBU_電池模組,10.0,12.31,15894
6781,AES-KY,BBU_電池模組,7.32,15.79,4359
3211,順達,BBU_電池模組,5.64,7.61,14453
3323,加百裕,BBU_電池模組,4.46,3.86,3613
6558,興能高,BBU_電池模組,3.25,2.2,1071
6121,新普,BBU_電池模組,1.03,8.54,1558
3625,西勝,BBU_電池模組,-1.31,-3.21,560
2301,光寶科,BBU_電源供應器與整合,9.8,21.08,44158
5309,系統電,BBU_電源供應器與整合,5.64,6.65,22755
2308,台達電,BBU_電源供應器與整合,2.05,1.58,9200
3305,昇貿,BBU_電源供應器與整合,1.74,0.86,3251
3625,西勝,BBU_電源供應器與整合,-1.31,-3.21,560
3363,上詮,CPO_先進封裝測試,5.31,4.66,4072
6515,穎崴,CPO_先進封裝測試,4.78,-0.39,245
6451,訊芯-KY,CPO_先進封裝測試,3.29,-4.61,3986
3265,台星科,CPO_先進封裝測試,0.84,-2.96,2225
6257,矽格,CPO_先進封裝測試,0.71,4.42,11870
2455,全新,CPO_光通訊,6.82,3.45,3315
3081,聯亞,CPO_光通訊,6.11,4.71,2275
3163,波若威,CPO_光通訊,2.97,-8.37,779
4979,華星光,CPO_光通訊,1.82,-4.41,13519
6442,光聖,CPO_光通訊,-0.76,-5.34,3829
3443,創意,IC設計,9.98,15.64,2419
6643,M31,IC設計,9.98,5.08,1604
3443,創意,IC設計,9.98,15.64,2419
6531,愛普*,IC設計,9.94,-0.31,2885
3661,世芯-KY,IC設計,9.92,17.74,1273
3661,世芯-KY,IC設計,9.92,17.74,1273
3035,智原,IC設計,9.83,7.71,25421
3035,智原,IC設計,9.83,7.71,25421
2388,威盛,IC設計,7.42,-4.12,12994
2454,聯發科,IC設計,6.89,13.12,8690
6533,晶心科,IC設計,6.08,4.76,1806
3529,力旺,IC設計,2.88,1.36,1519
8054,安國,IC設計,-2.82,-7.17,2760
3189,景碩,PCB,9.83,4.25,26643
2316,楠梓電,PCB,9.78,5.56,6313
8046,南電,PCB,6.32,-3.4,13746
6274,台燿,PCB,6.2,10.65,2585
3037,欣興,PCB,5.26,0.35,28324
2368,金像電,PCB,5.26,-3.11,5404
6213,聯茂,PCB,4.52,5.44,5133
5469,瀚宇博,PCB,4.03,1.67,6030
1815,富喬,PCB,3.27,-2.64,35390
