股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1721,三晃,34.45,39.76%,20915,2.25
1809,中釉,40.4,60.32%,34259,3.37
2301,光寶科,234.5,36.34%,91946,2.49
2303,聯電,104.5,43.74%,383024,1.86
2327,國巨,419.5,37.54%,63365,1.72
2363,矽統,63.2,19.25%,42472,3.16
2374,佳能,82.4,16.22%,15194,1.52
2375,凱美,94.8,18.06%,10395,2.72
2399,映泰,46.45,12.33%,26698,1.72
2451,創見,351.0,33.97%,15720,1.78
2492,華新科,188.5,45.56%,41347,2.76
2851,中再保,34.1,12.91%,10620,1.89
3033,威健,44.45,24.68%,16919,3.46
3035,智原,208.5,11.8%,40874,2.88
3036,文曄,275.5,37.06%,43177,1.85
3048,益登,46.9,20.1%,19697,3.48
3090,日電貿,120.5,25.65%,16522,3.09
3374,精材,255.5,17.2%,33752,2.61
3624,光頡,66.3,33.0%,14461,3.28
3707,漢磊,77.2,36.64%,22930,3.65
4931,新盛力,202.5,21.62%,32312,2.47
4966,譜瑞-KY,761.0,23.74%,16142,3.91
4973,廣穎,120.0,36.21%,12716,1.99
5351,鈺創,83.8,30.53%,55029,1.84
5425,台半,81.1,36.07%,44026,4.13
5471,松翰,52.4,26.27%,10914,2.69
6116,彩晶,10.65,29.09%,134250,2.55
6282,康舒,56.0,20.04%,96766,2.16
