股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1528,恩德,27.05,41.25%,23401,6.57
1709,和益,43.1,26.02%,27383,2.58
2371,大同,30.0,6.57%,21014,1.83
2413,環科,54.0,11.69%,24916,4.49
2419,仲琦,30.65,13.73%,10193,2.4
2455,全新,572.0,14.4%,15658,1.7
2468,華經,46.55,38.96%,26714,8.98
3264,欣銓,284.0,25.11%,27190,2.11
3605,宏致,169.0,40.25%,50842,2.32
3624,光頡,132.5,36.74%,33266,2.88
3714,富采,68.8,2.38%,26800,1.53
4956,光鋐,46.85,33.48%,27061,4.36
6133,金橋,28.0,12.9%,11880,3.62
6148,驊宏資,40.0,40.6%,14884,8.79
6168,宏齊,42.7,45.24%,11637,3.83
6668,中揚光,50.3,22.98%,18858,4.44
6706,惠特,164.0,32.79%,14648,4.18
8064,東捷,138.0,12.65%,17086,2.12
8111,立碁,80.6,9.66%,35498,1.74
