排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,被動元件,3.51,84.21,16/19,-39.39,-65.55,-3.46,-34.57
2,銀,1.82,75.0,3/4,-7.44,-56.32,-6.78,-14.79
3,航運,1.45,73.33,11/15,41.53,178.6,0.25,1.21
4,記憶體模組,1.06,71.43,5/7,5.93,-27.85,-10.03,-12.82
5,軟體設計,0.32,66.67,10/15,4.78,4.63,2.35,4.67
6,鋼鐵,0.67,53.33,8/15,7.35,23.91,0.35,-4.03
7,TPU_散熱,-3.4,50.0,2/4,-1.71,27.52,18.74,12.17
8,BBU_電池模組,-1.62,42.86,3/7,2.75,3.56,-1.82,-0.91
9,廠務系統與水處理,0.23,42.86,3/7,-0.63,-0.89,-0.01,-0.01
10,造紙,0.43,42.86,3/7,0.77,1.53,0.0,-0.0
11,半導體設備,-1.26,42.86,3/7,-3.59,5.39,-0.33,14.15
12,電器電纜,-0.41,40.0,4/10,-1.88,-3.14,-0.14,-0.14
13,記憶體控制IC,-1.87,40.0,2/5,-1.64,-2.67,0.13,0.14
14,電池或電源,-0.34,40.0,8/20,-41.5,-0.83,1.75,-13.83
15,CPO_先進封裝測試,0.89,40.0,2/5,6.29,7.07,-7.21,-23.85
16,光學元件或組裝,-1.22,33.33,5/15,-36.5,-29.9,18.7,71.87
17,網通設備組件,-0.88,30.0,6/20,-43.47,1.02,13.27,-117.56
18,機器人,-1.17,28.57,4/14,-49.05,-23.65,6.67,-14.86
19,玻璃,-0.78,26.67,4/15,11.63,357.17,-3.91,0.83
20,紡織,-0.24,25.0,5/20,2.47,-5.66,0.55,1.24
21,IC設計,-1.46,23.08,3/13,21.75,84.53,-27.31,-169.76
22,金融,-1.08,21.05,4/19,-19.15,-35.38,-0.14,0.42
23,BBU_電源供應器與整合,-2.35,20.0,1/5,-43.57,-4.02,2.95,-14.28
24,無塵室與機電工程,-1.28,20.0,1/5,2.46,6.87,-7.08,-16.47
25,銅,-1.33,20.0,2/10,-5.38,-23.37,-8.79,-13.05
26,CPO_光通訊,-3.16,16.67,1/6,-12.77,-32.15,2.67,22.85
27,塑膠,-1.32,16.67,3/18,-19.15,-35.38,-0.14,0.42
28,軍工_航太製造與維修,-2.85,16.67,1/6,-11.56,0.21,-0.01,-0.03
29,化學,-1.18,15.0,3/20,-15.58,-31.54,-0.08,0.35
30,軍工_無人機相關,-0.92,11.11,1/9,-8.7,22.82,-14.31,-125.97
31,PCB,-2.15,6.67,1/15,-5.76,229.14,-25.33,6.18
32,工業自動化與機器人,-1.5,0.0,0/7,-3.36,-1.89,4.46,5.7
33,TPU_伺服器主板與印刷電路板,-2.81,0.0,0/5,10.82,387.92,-21.6,-20.13
34,記憶體製造,-4.58,0.0,0/4,-111.14,-137.56,-27.55,-58.92
35,低軌衛星,-1.75,0.0,0/7,-14.8,-28.36,-3.45,-17.08
36,記憶體封裝與測試,-1.5,0.0,0/4,5.95,-0.84,-6.15,-9.64
37,TPU_光通訊與連接器,-5.66,0.0,0/4,-25.05,-64.83,-1.82,32.15
