股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2303,聯電,108.0,44.97%,333998,1.92
2327,國巨,462.0,43.48%,17046,1.55
2356,英業達,53.2,14.9%,80235,2.58
2375,凱美,101.0,15.3%,18728,2.98
2376,技嘉,327.0,20.0%,16985,1.93
2377,微星,117.0,17.0%,98929,4.67
2441,超豐,101.0,14.9%,29415,1.9
2492,華新科,220.0,63.57%,29663,2.89
2542,興富發,43.15,6.28%,14890,2.12
3024,憶聲,16.55,26.34%,10894,2.28
3033,威健,46.4,29.43%,27593,2.13
3048,益登,51.0,31.95%,34119,3.69
3090,日電貿,129.5,31.61%,28643,3.35
3236,千如,40.2,31.16%,37525,3.7
3317,尼克森,74.0,32.85%,13131,2.85
3357,臺慶科,231.5,38.21%,12209,2.55
3374,精材,259.5,27.83%,26843,2.99
3707,漢磊,80.0,32.89%,38050,2.42
5328,華容,29.15,16.6%,31287,2.61
5351,鈺創,91.5,28.33%,70193,2.05
6166,凌華,111.5,49.66%,12618,4.46
6175,立敦,69.0,8.66%,11277,1.83
6208,日揚,104.5,33.29%,10017,3.55
6278,台表科,226.0,39.94%,20640,3.42
8043,蜜望實,103.0,19.21%,22580,3.52
8069,元太,226.0,62.01%,51749,3.45
8261,富鼎,136.0,14.29%,17730,2.15
8926,台汽電,57.6,27.57%,22306,4.62
