公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
聚和,6509,37.7,聚和六,65096,37.6,-0.27,5001170,1294927.0,258,57.0
泰金二,6629,116.0,泰金二KY,66292,121.7,4.91,224081,63867.0,100,48.0
