公司名稱,股票代碼,最新收盤價,標的債券,債券代號,轉換價格,差異百分比,股票成交量,股票5MA,可轉債成交量,可轉債5MA
崇越電,3388,61.5,崇越電一,33881,62.8,2.11,61588,28507.0,34,8.0
弘凱,5244,43.55,弘凱一,52441,44.5,2.18,2011894,508901.0,44,9.0
台特化,4772,316.0,台特化一,47721,323.8,2.47,5045059,1649983.0,265,123.0
歐買尬,3687,83.0,歐買尬三,36873,80.1,-3.49,341884,143090.0,1,0.0
