股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2356,英業達,43.8,5,3424414,684,43.8,40.5,8.15%
2382,廣達,313.0,5,3225148,645,314.0,284.0,10.56%
2881,富邦金,88.5,5,8675687,1735,89.2,86.5,3.12%
2882,國泰金,73.6,5,15295629,3059,74.5,71.0,4.93%
2885,元大金,47.95,5,14793945,2958,48.0,45.5,5.49%
2886,兆豐金,39.75,5,9117976,1823,39.9,38.65,3.23%
2891,中信金,54.8,4,20694726,4138,56.9,52.1,9.21%
3045,台灣大,110.0,5,2949575,589,110.0,108.5,1.38%
3231,緯創,132.5,4,4192633,838,132.5,123.0,7.72%
4904,遠傳,95.3,5,3229254,645,95.3,92.3,3.25%
