股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
4927,泰鼎-KY,45.4,9.92,-2899.22,-1853.5,0.0,0.0
8028,昇陽半導體,205.5,9.89,2718.42,2194.71,0.0,-2.0
3026,禾伸堂,183.5,9.88,1926.76,1827.88,0.0,-1.0
2486,一詮,174.0,9.77,3198.69,-1787.59,128.62,144.62
3042,晶技,107.5,9.69,1574.0,3283.96,0.0,0.0
2316,楠梓電,107.5,9.58,3633.3,2899.32,-2475.0,-4125.0
5388,中磊,86.4,9.22,183.0,-2175.0,0.0,0.0
6672,騰輝電子-KY,154.0,8.83,1094.76,771.53,0.0,0.0
1815,富喬,121.5,8.48,10502.14,15259.27,-50.0,-1555.0
2495,普安,36.15,7.27,-1756.99,-2557.8,0.0,-4.0
