排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_先進封裝測試,4.09,100.0,5/5,0.25,12.74,0.37,-7.12
2,PCB,4.39,86.67,13/15,164.7,207.98,7.53,58.47
3,造紙,0.92,85.71,6/7,0.0,0.15,0.0,0.0
4,TPU_伺服器主板與印刷電路板,1.91,80.0,4/5,13.25,67.85,4.77,30.15
5,無塵室與機電工程,3.64,80.0,4/5,6.0,-18.88,-1.11,-1.8
6,被動元件,2.28,78.95,15/19,73.77,248.93,-2.02,-8.16
7,銀,3.43,75.0,3/4,53.24,95.33,-0.42,-0.87
8,廠務系統與水處理,2.22,71.43,5/7,1.39,3.44,0.09,1.01
9,半導體設備,2.97,71.43,5/7,7.93,16.72,3.38,4.57
10,工業自動化與機器人,2.36,71.43,5/7,10.09,22.56,-0.13,-0.2
11,化學,1.36,70.0,14/20,28.61,60.28,-1.17,0.53
12,CPO_光通訊,1.62,66.67,4/6,2.8,-28.44,17.26,34.48
13,銅,2.36,60.0,6/10,35.32,80.22,-0.65,23.8
14,光學元件或組裝,1.24,60.0,9/15,38.21,43.01,-5.8,-6.63
15,IC設計,0.49,53.85,7/13,-1.41,-10.2,-3.53,-24.94
16,軟體設計,-0.26,53.33,8/15,-1.19,0.58,-0.0,-0.0
17,軍工_航太製造與維修,1.97,50.0,3/6,0.23,0.8,-0.12,-0.36
18,網通設備組件,0.5,45.0,9/20,17.07,17.27,1.11,8.25
19,低軌衛星,-0.02,42.86,3/7,54.81,-17.69,0.33,10.69
20,塑膠,-0.23,41.18,7/17,16.05,41.45,-1.29,1.8
21,紡織,-0.03,40.0,8/20,-0.07,-1.95,0.34,0.31
22,航運,-0.36,40.0,6/15,-0.98,-13.83,-1.59,-2.92
23,鋼鐵,0.51,40.0,6/15,63.55,92.63,-1.83,-2.24
24,玻璃,0.89,40.0,6/15,65.19,121.12,-4.26,22.28
25,金融,-0.3,38.89,7/18,16.05,41.46,-1.29,1.8
26,機器人,0.52,35.71,5/14,24.92,158.5,-2.14,-3.24
27,電池或電源,-0.78,30.0,6/20,9.52,161.33,-3.73,-1.81
28,TPU_散熱,-1.06,25.0,1/4,-8.22,2.63,-6.91,-7.2
29,TPU_光通訊與連接器,-0.74,25.0,1/4,-10.0,-61.69,-11.03,-5.29
30,記憶體控制IC,-2.41,20.0,1/5,-1.11,-22.37,-0.44,-0.66
31,電器電纜,-1.39,20.0,2/10,-8.81,0.27,0.64,-0.43
32,記憶體模組,-3.52,14.29,1/7,-72.91,-152.52,-1.26,-6.42
33,BBU_電池模組,-1.79,14.29,1/7,-7.43,6.29,-2.93,0.51
34,軍工_無人機相關,-1.4,11.11,1/9,-12.41,-22.32,-2.81,-13.78
35,記憶體製造,-6.12,0.0,0/4,-154.89,-129.27,2.39,-4.74
36,記憶體封裝與測試,-1.67,0.0,0/4,-3.45,-5.9,-0.1,-1.4
37,BBU_電源供應器與整合,-1.82,0.0,0/5,22.56,156.32,-1.65,-1.8
