股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2355,敬鵬,52.9,24.47%,33495,2.19
2419,仲琦,36.95,27.63%,40143,2.91
2426,鼎元,43.0,30.5%,22925,3.35
3026,禾伸堂,183.5,51.03%,18721,2.84
3042,晶技,107.5,17.49%,11944,2.3
3339,泰谷,46.9,25.91%,16184,3.38
3380,明泰,41.3,22.37%,31807,2.3
3714,富采,57.3,22.83%,49593,3.46
4906,正文,40.2,32.67%,60162,5.31
5443,均豪,116.0,15.42%,22562,1.68
6168,宏齊,27.7,6.54%,26785,3.04
6190,萬泰科,66.0,25.71%,43222,2.03
6213,聯茂,216.5,63.4%,22640,2.28
6257,矽格,171.0,35.18%,28725,1.85
6672,騰輝電子-KY,154.0,18.92%,13362,1.8
8046,南電,669.0,36.25%,24577,1.8
