股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1727,中華化,104.5,36.96%,24179,1.52
2312,金寶,36.4,21.74%,66663,1.75
2327,國巨,691.0,76.5%,67663,1.62
2353,宏碁,32.5,12.85%,95589,1.79
2355,敬鵬,67.0,27.13%,53636,2.29
2356,英業達,65.4,30.28%,135283,2.53
2363,矽統,69.2,13.44%,44653,2.35
2365,昆盈,39.65,7.31%,14189,1.52
2375,凱美,138.0,50.82%,40344,3.7
2377,微星,127.0,18.14%,80479,2.28
2421,建準,162.5,7.62%,15535,1.55
2441,超豐,128.5,39.07%,24752,1.57
2472,立隆電,279.5,24.22%,23870,2.71
2484,希華,54.2,36.87%,41229,2.85
3019,亞光,156.5,6.83%,10965,2.05
3035,智原,218.5,11.76%,30348,2.05
3149,正達,65.0,28.71%,41465,2.53
3221,台嘉碩,60.2,37.44%,19995,1.97
3305,昇貿,160.5,37.18%,13539,2.42
3317,尼克森,83.7,22.73%,11341,2.18
3537,堡達,76.7,59.29%,11561,5.76
3615,安可,52.3,56.12%,17947,2.7
3663,鑫科,91.7,35.05%,10679,2.76
3673,TPK-KY,79.5,32.94%,33370,2.93
4540,全球傳動,72.7,4.6%,16077,1.8
4916,事欣科,101.5,51.49%,25271,3.96
4919,新唐,219.0,19.02%,55367,1.77
5328,華容,36.0,28.34%,29675,2.83
5425,台半,91.6,14.07%,30939,3.63
6147,頎邦,237.0,20.61%,53901,1.83
6155,鈞寶,61.2,19.53%,11088,3.8
6175,立敦,94.2,37.32%,13307,2.3
6207,雷科,98.8,44.66%,10084,4.01
6271,同欣電,243.5,31.27%,31053,1.79
6282,康舒,63.1,13.9%,83984,1.7
8289,泰藝,67.9,35.94%,13934,1.93
8926,台汽電,62.5,21.36%,16050,2.62
