股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
1447,力鵬,2026-05-18,5.33,5.76,8.07%,8256,1776,4.65
3615,安可,2026-05-18,38.15,40.95,7.34%,15331,4937,3.11
3691,碩禾,2026-05-18,157.0,154.0,-1.91%,9211,2340,3.94
3490,單井,2026-05-18,39.35,37.8,-3.94%,12682,3052,4.16
3712,永崴投控,2026-05-18,14.65,15.5,5.8%,8161,1425,5.73
4562,穎漢,2026-05-18,39.65,42.95,8.32%,8310,1837,4.52
5347,世界,2026-05-18,159.0,159.0,0.0%,169493,52652,3.22
3305,昇貿,2026-05-18,140.0,137.0,-2.14%,27488,8839,3.11
3294,英濟,2026-05-18,38.8,37.25,-3.99%,12463,1378,9.04
3149,正達,2026-05-18,57.0,59.0,3.51%,52943,16212,3.27
3090,日電貿,2026-05-18,141.5,148.0,4.59%,36767,12113,3.04
6207,雷科,2026-05-18,76.9,84.9,10.4%,39611,9332,4.24
3048,益登,2026-05-18,59.0,57.3,-2.88%,52561,11546,4.55
6215,和椿,2026-05-18,132.0,127.0,-3.79%,20774,4981,4.17
2945,三商家購,2026-05-18,39.25,40.1,2.17%,5137,278,18.45
3624,光頡,2026-05-18,80.7,83.8,3.84%,24940,6999,3.56
2359,所羅門,2026-05-18,136.5,139.0,1.83%,25202,4194,6.01
6449,鈺邦,2026-05-18,263.0,271.0,3.04%,10367,2323,4.46
2498,宏達電,2026-05-18,45.6,44.2,-3.07%,43881,13551,3.24
6485,點序,2026-05-18,102.0,108.0,5.88%,5896,1359,4.34
8374,羅昇,2026-05-18,105.0,113.0,7.62%,8498,1995,4.26
8043,蜜望實,2026-05-18,112.0,122.0,8.93%,45426,9094,5.0
8091,翔名,2026-05-18,248.0,260.5,5.04%,6435,1541,4.17
8163,達方,2026-05-18,34.2,33.35,-2.49%,10339,2600,3.98
6217,中探針,2026-05-15,324.5,294.5,-9.24%,11664,3764,3.1
8926,台汽電,2026-05-15,58.2,57.5,-1.2%,17577,5432,3.24
8374,羅昇,2026-05-15,97.0,113.0,16.49%,7235,1606,4.5
8163,達方,2026-05-15,32.35,33.35,3.09%,12865,2138,6.02
6118,建達,2026-05-15,18.7,17.45,-6.68%,5119,1126,4.54
6237,驊訊,2026-05-15,47.85,46.35,-3.13%,8190,1321,6.2
6834,天二科技,2026-05-15,48.2,52.7,9.34%,10730,2428,4.42
6208,日揚,2026-05-15,106.0,94.6,-10.75%,7371,1941,3.8
6449,鈺邦,2026-05-15,255.0,271.0,6.27%,5781,1849,3.13
6215,和椿,2026-05-15,119.0,127.0,6.72%,14048,4014,3.5
3624,光頡,2026-05-15,74.1,83.8,13.09%,33811,5959,5.67
9914,美利達,2026-05-15,65.0,68.4,5.23%,7273,1997,3.64
2221,大甲,2026-05-15,46.1,45.85,-0.54%,7636,1310,5.83
2392,正崴,2026-05-15,32.3,33.5,3.72%,15310,3354,4.56
2498,宏達電,2026-05-15,46.35,44.2,-4.64%,71302,11584,6.16
2540,愛山林,2026-05-15,56.8,57.3,0.88%,6365,1737,3.66
2606,裕民,2026-05-15,64.9,63.4,-2.31%,17930,5900,3.04
2881,富邦金,2026-05-15,96.5,95.2,-1.35%,100424,31894,3.15
2375,凱美,2026-05-15,100.0,103.0,3.0%,21501,7098,3.03
2359,所羅門,2026-05-15,124.5,139.0,11.65%,10519,2973,3.54
2382,廣達,2026-05-15,310.0,300.0,-3.23%,66013,21797,3.03
3059,華晶科,2026-05-15,40.3,43.2,7.2%,27390,5842,4.69
3362,先進光,2026-05-15,113.0,115.0,1.77%,6612,1379,4.79
3406,玉晶光,2026-05-15,560.0,577.0,3.04%,7906,2306,3.43
1904,正隆,2026-05-15,20.0,19.1,-4.5%,8051,2384,3.38
3441,聯一光,2026-05-15,44.65,43.35,-2.91%,5923,1309,4.52
3490,單井,2026-05-15,39.2,37.8,-3.57%,8333,2537,3.28
