股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1310,台苯,9.98,12.13%,12669,2.28
1313,聯成,12.55,20.67%,37238,2.41
1711,永光,29.15,26.19%,100344,3.72
2367,燿華,72.4,25.69%,278391,2.24
2455,全新,251.5,47.51%,14563,1.86
2603,長榮,216.5,15.78%,57452,2.9
2605,新興,37.85,32.81%,85268,2.04
2609,陽明,66.0,25.0%,176100,3.32
3049,精金,12.5,34.26%,23060,1.71
3092,鴻碩,36.8,48.39%,11747,3.2
3450,聯鈞,334.0,31.5%,51480,2.72
3576,聯合再生,26.7,79.8%,69977,2.61
3615,安可,35.55,33.15%,10124,2.79
3701,大眾控,71.1,32.9%,10982,1.89
4908,前鼎,105.0,36.36%,15811,5.35
4919,新唐,80.7,35.4%,35291,4.01
6443,元晶,49.65,17.79%,268077,1.83
6456,GIS-KY,57.7,40.9%,15799,4.62
6505,台塑化,58.8,18.43%,41255,2.75
6530,創威,83.1,32.11%,12212,3.39
8086,宏捷科,137.0,17.6%,30617,2.72
8289,泰藝,40.5,39.66%,13034,6.11
