股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2441,超豐,88.7,30.25%,25959,4.27
2880,華南金,31.9,3.57%,50825,2.25
2882,國泰金,75.5,9.9%,52095,2.35
2884,玉山金,33.55,9.46%,140458,1.54
2885,元大金,40.2,6.49%,49972,1.65
2887,台新金,21.4,11.17%,491464,4.27
2890,永豐金,29.1,5.82%,52639,1.56
2891,中信金,49.5,11.11%,88296,2.37
3030,德律,188.0,12.24%,15067,2.59
4545,銘鈺,42.45,33.7%,10480,5.41
4927,泰鼎-KY,34.55,45.17%,36734,2.91
5498,凱崴,36.9,43.58%,37066,2.56
6127,九豪,32.8,16.73%,12249,3.82
6190,萬泰科,47.0,18.24%,16152,3.6
8074,鉅橡,43.25,21.49%,16037,4.12
