排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體製造,1.92,75.0,3/4,360.35,611.79,8.06,-10.11
2,鋼鐵,1.13,60.0,9/15,7.35,22.78,14.11,20.9
3,銅,-0.56,50.0,5/10,-14.71,-16.42,4.22,-28.66
4,塑膠,-0.08,44.44,8/18,-3.68,-15.26,10.27,23.12
5,金融,-0.11,42.11,8/19,-3.68,-15.25,10.27,23.12
6,記憶體控制IC,-0.54,40.0,2/5,-7.87,5.15,-0.09,0.03
7,TPU_伺服器主板與印刷電路板,-0.42,40.0,2/5,1.17,26.24,-0.75,-46.02
8,化學,-0.23,40.0,8/20,-5.48,-25.94,9.24,20.04
9,電器電纜,-0.61,40.0,4/10,0.73,9.15,-0.12,0.83
10,IC設計,0.5,38.46,5/13,-11.28,135.31,29.89,91.77
11,紡織,-0.04,35.0,7/20,-0.3,-2.49,-0.74,-0.96
12,PCB,-0.62,33.33,5/15,2.14,55.65,-29.49,-119.7
13,CPO_光通訊,-1.42,33.33,2/6,36.08,34.24,-0.79,-22.44
14,造紙,-0.2,28.57,2/7,0.14,-0.81,0.0,0.0
15,半導體設備,-1.49,28.57,2/7,2.8,-4.52,3.77,7.83
16,記憶體模組,-0.77,28.57,2/7,7.36,24.41,-0.32,-0.65
17,玻璃,-0.96,26.67,4/15,3.13,84.65,7.08,-61.63
18,軟體設計,-0.02,20.0,3/15,0.41,1.94,-0.01,0.12
19,BBU_電源供應器與整合,-2.06,20.0,1/5,-23.55,-8.55,-8.62,-2.05
20,CPO_先進封裝測試,-0.39,20.0,1/5,-0.86,-36.73,6.7,22.73
21,無塵室與機電工程,-1.36,20.0,1/5,-5.53,-1.17,0.43,0.0
22,網通設備組件,-2.44,20.0,4/20,-4.43,138.65,-34.79,32.24
23,BBU_電池模組,-1.81,14.29,1/7,-4.45,-9.16,0.14,0.71
24,光學元件或組裝,-2.11,13.33,2/15,27.87,-2.65,-37.7,-100.05
25,航運,-0.78,13.33,2/15,-2.45,-25.6,0.46,6.79
26,軍工_無人機相關,-1.47,12.5,1/8,10.44,167.33,8.85,67.76
27,機器人,-3.03,7.14,1/14,-28.11,2.68,-8.76,-3.1
28,TPU_光通訊與連接器,-4.68,0.0,0/4,-17.69,-18.44,-19.63,-41.44
29,低軌衛星,-2.88,0.0,0/7,-46.77,-88.92,-30.81,-33.15
30,工業自動化與機器人,-3.7,0.0,0/7,-7.67,1.29,0.38,0.89
31,廠務系統與水處理,-3.3,0.0,0/6,-0.56,-0.75,0.0,0.01
32,TPU_散熱,-4.29,0.0,0/4,14.44,9.93,-26.16,-3.68
33,被動元件,-3.52,0.0,0/19,-37.16,225.2,-13.03,-10.08
34,軍工_航太製造與維修,-2.07,0.0,0/6,-5.28,-5.69,0.04,0.03
35,記憶體封裝與測試,-1.08,0.0,0/4,-12.59,-9.85,-0.03,-0.28
36,銀,-2.49,0.0,0/4,-12.41,187.6,-5.11,-5.91
37,電池或電源,-1.85,0.0,0/20,-31.02,-12.51,-8.54,-0.21
