股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
3211,順達,BBU_電池模組,7.17,-2.18,8009
6121,新普,BBU_電池模組,5.93,3.28,920
3625,西勝,BBU_電池模組,4.35,-2.61,233
6558,興能高,BBU_電池模組,2.95,-3.88,386
4931,新盛力,BBU_電池模組,2.9,-7.81,1625
3323,加百裕,BBU_電池模組,2.87,-5.15,1015
6781,AES-KY,BBU_電池模組,2.56,-3.38,1044
5309,系統電,BBU_電源供應器與整合,8.23,-0.66,4715
2308,台達電,BBU_電源供應器與整合,5.74,-3.37,12096
3305,昇貿,BBU_電源供應器與整合,4.49,-4.21,2215
3625,西勝,BBU_電源供應器與整合,4.35,-2.61,233
2301,光寶科,BBU_電源供應器與整合,4.03,-3.73,18333
6515,穎崴,CPO_先進封裝測試,9.94,14.66,514
3363,上詮,CPO_先進封裝測試,6.94,-7.01,2024
6257,矽格,CPO_先進封裝測試,6.36,-5.64,10362
3265,台星科,CPO_先進封裝測試,4.02,-5.82,2059
6451,訊芯-KY,CPO_先進封裝測試,0.88,-11.54,2950
3081,聯亞,CPO_光通訊,10.0,8.79,8881
3163,波若威,CPO_光通訊,7.53,-2.51,931
2455,全新,CPO_光通訊,3.07,-7.57,5169
4979,華星光,CPO_光通訊,2.2,-12.75,4167
4977,眾達-KY,CPO_光通訊,0.33,-6.21,9841
6442,光聖,CPO_光通訊,-0.29,-14.11,1309
6643,M31,IC設計,6.83,-2.62,627
6531,愛普*,IC設計,6.08,-2.95,2329
8054,安國,IC設計,3.21,-6.38,1454
3529,力旺,IC設計,3.2,-6.8,445
2388,威盛,IC設計,2.53,-2.83,1417
3443,創意,IC設計,2.51,-4.67,1861
3443,創意,IC設計,2.51,-4.67,1861
2454,聯發科,IC設計,2.4,-3.94,5620
3661,世芯-KY,IC設計,2.17,-6.42,1835
3661,世芯-KY,IC設計,2.17,-6.42,1835
3035,智原,IC設計,1.39,-8.18,1889
3035,智原,IC設計,1.39,-8.18,1889
6533,晶心科,IC設計,-3.14,-7.27,691
6213,聯茂,PCB,10.0,-1.17,12208
2383,台光電,PCB,9.2,0.42,3065
3037,欣興,PCB,9.0,-5.78,15566
2368,金像電,PCB,7.36,11.01,13502
2316,楠梓電,PCB,6.21,-1.49,2521
3715,定穎投控,PCB,5.4,-2.01,22231
5469,瀚宇博,PCB,4.4,-3.93,3353
2313,華通,PCB,4.37,-6.83,81834
3189,景碩,PCB,3.59,-7.9,24723
1815,富喬,PCB,3.5,-6.94,8865
4958,臻鼎-KY,PCB,3.38,-5.35,14431
6274,台燿,PCB,2.86,-7.71,11777
2367,燿華,PCB,1.61,-9.73,16268
8046,南電,PCB,1.18,-7.16,3807
8358,金居,PCB,-3.23,-11.24,6755
2383,台光電,TPU_伺服器主板與印刷電路板,9.2,0.42,3065
