股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,70.2,5,3274955,654,73.4,70.0,4.86%
2027,大成鋼,36.45,5,12473000,2494,37.7,35.7,5.60%
2303,聯電,60.4,4,33407665,6681,64.0,57.2,11.89%
2317,鴻海,209.5,5,5383721,1076,228.0,206.0,10.68%
2324,仁寶,31.75,4,6794000,1358,31.75,29.2,8.73%
2603,長榮,205.5,4,4346693,869,222.5,203.0,9.61%
2880,華南金,34.25,5,8177126,1635,36.25,32.55,11.37%
2881,富邦金,88.3,5,12451164,2490,92.3,83.5,10.54%
2882,國泰金,71.1,5,20934217,4186,76.6,67.3,13.82%
2883,凱基金,19.9,5,8983995,1796,20.95,19.2,9.11%
2884,玉山金,33.4,5,5703807,1140,34.55,32.6,5.98%
2887,台新金,24.3,5,151133653,30226,25.0,22.9,9.17%
2890,永豐金,31.3,5,7725997,1545,32.65,30.25,7.93%
2891,中信金,51.2,4,34439210,6887,52.6,49.4,6.48%
3702,大聯大,72.1,4,6255832,1251,73.8,64.8,13.89%
5880,合庫金,23.1,5,2716642,543,23.75,22.65,4.86%
6005,群益證,27.75,5,5602042,1120,30.5,27.55,10.71%
