股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1402,遠東新,30.35,5,18562320,3712,30.6,27.0,13.33%
1504,東元,72.1,4,3487000,697,74.0,70.2,5.41%
2049,上銀,349.0,5,3261000,652,395.0,348.0,13.51%
2412,中華電,136.5,4,6468527,1293,137.5,135.0,1.85%
2455,全新,406.0,4,2994000,598,437.5,385.0,13.64%
2542,興富發,48.8,4,3381000,676,49.0,45.8,6.99%
2633,台灣高鐵,26.15,4,3177000,635,26.2,25.8,1.55%
2855,統一證,47.1,5,3388000,677,47.4,45.5,4.18%
2883,凱基金,31.55,4,55433523,11086,31.65,30.05,5.32%
2884,玉山金,38.0,5,69483799,13896,38.5,36.65,5.05%
2887,台新金,37.25,4,74301797,14860,37.7,35.7,5.60%
2890,永豐金,39.6,4,37904995,7580,40.5,38.75,4.52%
3406,玉晶光,652.0,4,2713000,542,705.0,625.0,12.80%
3706,神達,90.0,4,2513000,502,93.2,89.3,4.37%
4938,和碩,88.6,5,8836000,1767,94.8,87.4,8.47%
5483,中美晶,176.0,4,3207091,641,195.0,173.5,12.39%
5880,合庫金,25.05,4,39414061,7882,25.2,24.15,4.35%
6214,精誠,179.5,4,3506000,701,181.5,173.0,4.91%
8070,長華*,48.8,4,3813000,762,54.5,48.7,11.91%
