排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_散熱,4.52,100.0,4/4,18.54,-8.63,40.0,114.51
2,被動元件,3.98,94.74,18/19,5.73,17.46,-21.41,-120.05
3,CPO_先進封裝測試,3.06,80.0,4/5,9.12,32.89,-2.4,-14.08
4,記憶體封裝與測試,1.04,75.0,3/4,27.86,2.78,-0.01,-1.27
5,銀,4.43,75.0,3/4,-9.89,-16.44,-6.5,-51.53
6,TPU_光通訊與連接器,1.59,75.0,3/4,7.57,1.21,12.72,87.07
7,IC設計,1.06,69.23,9/13,55.15,91.21,-1.31,16.16
8,光學元件或組裝,1.04,60.0,9/15,90.81,64.86,26.77,136.88
9,BBU_電源供應器與整合,2.25,60.0,3/5,34.24,41.91,-10.91,-42.77
10,銅,1.6,60.0,6/10,49.01,33.27,0.81,-8.09
11,TPU_伺服器主板與印刷電路板,2.67,60.0,3/5,49.27,75.94,-4.51,-1.71
12,PCB,2.11,60.0,9/15,50.32,111.22,-0.65,45.52
13,工業自動化與機器人,0.39,57.14,4/7,-4.68,-4.63,-1.71,-1.64
14,網通設備組件,1.17,55.0,11/20,74.89,65.1,28.49,150.76
15,玻璃,-0.06,53.33,8/15,66.8,100.13,0.82,26.25
16,CPO_光通訊,-0.69,50.0,3/6,17.7,-11.74,-0.83,80.98
17,軟體設計,-0.17,46.67,7/15,-0.72,-0.77,-0.0,-0.06
18,低軌衛星,0.7,42.86,3/7,-15.51,19.61,8.3,8.47
19,廠務系統與水處理,0.88,42.86,3/7,-0.44,-0.73,0.0,0.0
20,記憶體控制IC,0.35,40.0,2/5,-1.69,-3.02,-0.0,-0.07
21,軍工_無人機相關,-1.11,37.5,3/8,37.62,79.37,-4.67,-14.18
22,機器人,-0.72,35.71,5/14,-2.94,27.9,-15.09,-59.61
23,電池或電源,0.07,35.0,7/20,30.53,29.71,-10.3,-18.92
24,紡織,-0.42,30.0,6/20,-3.49,-6.01,-0.01,-0.32
25,化學,-0.64,30.0,6/20,39.74,113.36,20.59,33.94
26,電器電纜,-0.92,30.0,3/10,-11.24,13.45,0.74,0.51
27,BBU_電池模組,-0.41,28.57,2/7,5.16,-19.09,-0.0,23.7
28,記憶體製造,-0.7,25.0,1/4,-60.37,236.62,-5.64,-0.55
29,無塵室與機電工程,-0.87,20.0,1/5,-12.12,-23.72,-2.84,-3.33
30,造紙,-0.6,14.29,1/7,-0.22,0.22,0.0,0.0
31,半導體設備,-1.35,14.29,1/7,1.19,7.06,6.0,20.24
32,塑膠,-1.33,11.11,2/18,39.22,105.75,18.88,32.24
33,金融,-1.43,10.53,2/19,39.22,105.75,18.88,32.24
34,鋼鐵,-0.19,6.67,1/15,27.95,58.0,1.5,8.25
35,航運,-1.86,0.0,0/15,-26.07,-4.9,-0.38,-12.2
36,記憶體模組,-0.87,0.0,0/7,-18.44,-25.46,-0.82,-2.38
37,軍工_航太製造與維修,-2.74,0.0,0/6,-23.71,-15.4,0.11,0.21
