股票代碼,公司名稱,符合策略數,符合策略
2367,燿華,3,"外資買超, 大戶持有, 強勢股"
6257,矽格,3,"外資買超, 大戶持有, 投信連續"
1514,亞力,3,"外資買超, 強勢股, 盤整突破"
6753,龍德造船,3,"外資買超, 強勢股, 盤整突破"
3704,合勤控,2,"盤整突破, 隔日衝"
6126,信音,2,"強勢股, 隔日衝"
3059,華晶科,2,"盤整突破, 隔日衝"
2610,華航,2,"外資買超, 強勢股"
2618,長榮航,2,"外資買超, 強勢股"
1802,台玻,2,"外資買超, 強勢股"
3037,欣興,2,"外資買超, 強勢股"
5340,建榮,2,"外資買超, 強勢股"
5347,世界,2,"外資買超, 強勢股"
3081,聯亞,2,"外資買超, 強勢股"
1513,中興電,2,"強勢股, 盤整突破"
1529,樂事綠能,2,"強勢股, 盤整突破"
1609,大亞,2,"強勢股, 盤整突破"
1809,中釉,2,"強勢股, 盤整突破"
2342,茂矽,2,"強勢股, 盤整突破"
2356,英業達,2,"強勢股, 盤整突破"
3016,嘉晶,2,"強勢股, 盤整突破"
3707,漢磊,2,"強勢股, 盤整突破"
4533,協易機,2,"強勢股, 盤整突破"
4540,全球傳動,2,"強勢股, 盤整突破"
4939,亞電,2,"大戶持有, 強勢股"
6182,合晶,2,"大戶持有, 強勢股"
8249,菱光,2,"強勢股, 盤整突破"
8034,榮群,2,"大戶持有, 盤整突破"
6217,中探針,2,"大戶持有, 盤整突破"
