股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1503,士電,237.0,37.79%,21096,3.64
1513,中興電,184.0,26.9%,53759,5.64
1514,亞力,140.5,45.45%,72094,5.26
1529,樂事綠能,26.85,42.06%,15413,5.54
1609,大亞,47.3,23.5%,53761,3.45
1618,合機,49.3,20.39%,20766,5.32
2313,華通,155.5,48.1%,96379,1.75
2324,仁寶,33.1,10.15%,79076,2.19
2327,國巨,296.0,24.63%,75944,1.72
2328,廣宇,54.5,13.78%,23199,2.51
2342,茂矽,38.95,15.58%,19525,4.11
2356,英業達,51.2,19.35%,141656,3.05
2457,飛宏,38.55,35.74%,87574,5.88
2481,強茂,99.4,25.03%,55545,2.27
2489,瑞軒,23.15,46.52%,33014,4.54
2492,華新科,157.5,28.57%,15552,1.97
2610,華航,22.7,11.27%,41847,1.59
2618,長榮航,39.2,7.54%,73277,2.23
2855,統一證,28.85,7.65%,15622,2.14
3037,欣興,327.0,43.74%,63875,2.2
3049,精金,11.1,57.45%,19692,3.73
3149,正達,59.4,45.95%,35802,5.3
4533,協易機,35.35,58.17%,48391,7.11
4939,亞電,51.3,39.59%,14855,1.55
5425,台半,73.0,35.19%,27114,2.7
5483,中美晶,121.0,5.22%,11576,1.63
6016,康和證,16.35,7.92%,11513,2.6
6190,萬泰科,50.8,8.55%,18163,1.53
6285,啟碁,141.0,37.56%,22104,3.53
6548,長科*,58.6,29.36%,25779,2.12
8086,宏捷科,125.5,14.09%,10025,2.43
8933,愛地雅,9.19,54.45%,11838,8.21
