股票代碼,公司名稱,當下價格,當下漲跌幅(%),外資昨日買超(張),外資前三日總買超(張),投信昨日買超(張),投信前三日總買超(張)
3645,達邁,73.0,9.93,-425.99,-929.47,0.0,0.0
6125,廣運,75.3,9.92,6.0,-251.98,0.0,0.0
1301,台塑,48.8,9.9,10279.05,31777.84,0.0,-434.2
6505,台塑化,52.2,9.89,788.48,3641.25,-5.43,-140.29
1326,台化,38.95,9.87,7377.61,21495.58,0.0,-1.0
2515,中工,14.5,9.84,-643.29,1702.22,0.0,0.0
8096,擎亞,53.1,9.82,-206.98,-1173.03,0.0,0.0
5243,乙盛-KY,89.0,8.27,-66.0,599.83,0.0,0.0
1304,台聚,12.45,7.79,761.0,182.58,0.0,0.0
1434,福懋,17.6,6.66,1893.36,3256.75,0.0,0.0
1305,華夏,12.7,5.83,405.0,655.52,0.0,0.0
2027,大成鋼,37.5,3.3,2874.0,-2870.23,100.0,100.0
