股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1101,台泥,26.25,5.21%,43873,1.76
1301,台塑,48.8,17.59%,89416,1.51
1305,華夏,12.7,9.48%,10542,2.32
1434,福懋,17.6,8.31%,12884,2.15
1536,和大,65.3,20.48%,13099,2.41
2049,上銀,246.5,19.95%,12781,2.51
2303,聯電,69.3,25.32%,224632,3.2
2313,華通,177.0,39.37%,151595,1.99
2355,敬鵬,39.5,16.35%,50040,5.33
2365,昆盈,40.7,14.81%,20408,2.98
2367,燿華,48.5,44.13%,145737,3.74
2454,聯發科,1770.0,22.49%,24725,1.63
2464,盟立,70.5,7.14%,18073,2.72
2489,瑞軒,24.2,53.65%,28686,5.96
3019,亞光,154.5,9.96%,20257,2.88
3044,健鼎,369.5,17.86%,10297,1.99
3532,台勝科,155.0,28.1%,14116,2.6
3630,新鉅科,38.5,19.75%,16096,4.29
3645,達邁,73.0,35.44%,17331,3.86
4533,協易機,36.7,62.03%,23458,6.02
4916,事欣科,69.0,11.29%,31863,2.33
5392,能率,50.5,6.77%,15511,1.79
5483,中美晶,127.5,6.69%,16046,2.0
6126,信音,38.25,7.44%,16005,4.64
6133,金橋,25.5,19.16%,19741,2.51
6190,萬泰科,56.9,14.03%,15480,2.04
6202,盛群,48.4,25.23%,10004,5.89
6217,中探針,67.3,28.44%,27024,3.73
6285,啟碁,157.5,41.89%,63600,5.35
6443,元晶,41.35,18.82%,115671,3.22
6548,長科*,61.2,26.32%,19572,2.55
8131,福懋科,85.3,28.27%,55077,1.73
