股票代碼,公司名稱,族群,今日漲跌幅,近三交易日漲跌幅,今日成交量
4931,新盛力,BBU_電池模組,4.55,0.6,7000
6558,興能高,BBU_電池模組,1.91,-3.03,113
6121,新普,BBU_電池模組,1.19,-3.53,376
6781,AES-KY,BBU_電池模組,0.0,-4.48,289
3323,加百裕,BBU_電池模組,-0.72,-4.84,343
3625,西勝,BBU_電池模組,-1.22,-1.62,139
3211,順達,BBU_電池模組,-2.26,-4.92,5020
3305,昇貿,BBU_電源供應器與整合,0.97,-5.86,839
5309,系統電,BBU_電源供應器與整合,0.79,-1.73,690
2301,光寶科,BBU_電源供應器與整合,0.52,-5.03,13639
2308,台達電,BBU_電源供應器與整合,-0.55,-1.64,8307
3625,西勝,BBU_電源供應器與整合,-1.22,-1.62,139
6257,矽格,CPO_先進封裝測試,1.91,0.47,5082
3265,台星科,CPO_先進封裝測試,0.6,-5.1,377
3363,上詮,CPO_先進封裝測試,-0.42,-3.67,6305
6451,訊芯-KY,CPO_先進封裝測試,-1.84,-4.9,3734
6515,穎崴,CPO_先進封裝測試,-5.45,2.9,1512
2455,全新,CPO_光通訊,3.5,0.95,2499
4979,華星光,CPO_光通訊,0.83,-3.02,16116
6442,光聖,CPO_光通訊,0.29,-3.13,3488
3163,波若威,CPO_光通訊,-0.28,-6.58,4110
3081,聯亞,CPO_光通訊,-0.52,-10.09,5160
4977,眾達-KY,CPO_光通訊,-1.45,-7.84,4955
6531,愛普*,IC設計,7.3,9.66,5337
2388,威盛,IC設計,2.37,-4.3,3223
3035,智原,IC設計,0.86,-1.67,1935
3035,智原,IC設計,0.86,-1.67,1935
8054,安國,IC設計,0.24,1.21,599
3443,創意,IC設計,-0.59,1.98,993
3443,創意,IC設計,-0.59,1.98,993
6533,晶心科,IC設計,-0.98,-3.98,563
6643,M31,IC設計,-1.14,6.26,454
3529,力旺,IC設計,-1.59,16.56,2233
2454,聯發科,IC設計,-1.8,4.76,5400
3661,世芯-KY,IC設計,-3.1,-7.46,3254
3661,世芯-KY,IC設計,-3.1,-7.46,3254
8046,南電,PCB,8.29,5.21,12270
3715,定穎投控,PCB,6.72,14.41,16952
3037,欣興,PCB,4.09,10.09,21332
6213,聯茂,PCB,2.55,1.16,14888
2368,金像電,PCB,2.33,5.26,5814
2316,楠梓電,PCB,1.9,3.87,1838
5469,瀚宇博,PCB,1.83,1.12,799
2367,燿華,PCB,1.69,-2.09,3099
3189,景碩,PCB,1.5,-0.85,15225
8358,金居,PCB,1.15,5.2,3448
2383,台光電,PCB,0.66,-0.74,1752
6274,台燿,PCB,0.0,-1.47,8551
4958,臻鼎-KY,PCB,-0.59,8.42,18639
2313,華通,PCB,-1.3,-8.62,20923
1815,富喬,PCB,-6.67,6.33,69801
3715,定穎投控,TPU_伺服器主板與印刷電路板,6.72,14.41,16952
3037,欣興,TPU_伺服器主板與印刷電路板,4.09,10.09,21332
2368,金像電,TPU_伺服器主板與印刷電路板,2.33,5.26,5814
5469,瀚宇博,TPU_伺服器主板與印刷電路板,1.83,1.12,799
2383,台光電,TPU_伺服器主板與印刷電路板,0.66,-0.74,1752
6805,富世達,TPU_光通訊與連接器,6.5,4.32,1576
2345,智邦,TPU_光通訊與連接器,3.07,-4.05,4715
6442,光聖,TPU_光通訊與連接器,0.29,-3.13,3488
