排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,TPU_散熱,3.86,100.0,4/4,6.46,-4.04,4.84,-14.76
2,記憶體控制IC,1.95,100.0,5/5,10.99,30.89,-0.02,-0.08
3,TPU_伺服器主板與印刷電路板,3.13,100.0,5/5,35.58,55.9,5.41,9.68
4,電器電纜,0.79,90.0,9/10,8.81,13.45,0.12,0.77
5,銅,1.35,90.0,9/10,39.7,25.27,-54.2,-59.58
6,航運,1.34,86.67,13/15,17.62,13.74,0.51,3.54
7,金融,2.29,84.21,16/19,22.34,24.43,0.45,23.44
8,塑膠,2.38,83.33,15/18,22.33,24.43,0.45,23.44
9,無塵室與機電工程,0.77,80.0,4/5,5.89,-7.24,-0.74,0.09
10,軍工_無人機相關,0.51,75.0,6/8,-32.75,111.99,8.21,60.87
11,TPU_光通訊與連接器,2.34,75.0,3/4,18.16,-6.51,-21.08,-42.0
12,光學元件或組裝,1.88,73.33,11/15,-42.02,-62.51,-3.09,-77.56
13,PCB,1.61,73.33,11/15,73.74,106.5,-33.75,-76.62
14,鋼鐵,0.04,73.33,11/15,-36.4,-12.94,13.8,35.59
15,工業自動化與機器人,2.18,71.43,5/7,15.61,13.12,0.32,0.72
16,化學,1.82,70.0,14/20,22.06,12.89,-0.25,20.88
17,電池或電源,0.72,70.0,14/20,32.82,-26.46,-14.76,-22.12
18,網通設備組件,0.73,60.0,12/20,-12.95,93.65,-26.56,-15.03
19,玻璃,1.03,60.0,9/15,33.6,80.31,-22.23,-29.4
20,BBU_電源供應器與整合,0.1,60.0,3/5,20.99,-28.12,-10.58,-19.05
21,低軌衛星,1.05,57.14,4/7,34.35,-59.14,-27.24,-65.99
22,半導體設備,2.77,57.14,4/7,5.27,10.82,0.23,5.95
23,紡織,0.58,55.0,11/20,3.26,-0.01,-0.62,-1.87
24,CPO_光通訊,0.4,50.0,3/6,-22.02,-14.29,-7.32,-14.28
25,銀,-0.07,50.0,2/4,-28.26,23.84,-0.13,-5.89
26,記憶體封裝與測試,0.54,50.0,2/4,23.44,18.02,-0.07,-0.03
27,廠務系統與水處理,0.42,50.0,3/6,0.6,0.97,-0.0,-0.0
28,造紙,0.27,42.86,3/7,0.11,-0.33,0.0,0.0
29,BBU_電池模組,0.49,42.86,3/7,4.56,-5.25,-4.21,-3.83
30,記憶體模組,-0.19,42.86,3/7,-3.7,28.59,-0.34,-0.88
31,機器人,0.83,42.86,6/14,29.45,1.28,-7.27,-16.02
32,被動元件,-0.01,42.11,8/19,-23.39,5.75,-2.52,-18.07
33,CPO_先進封裝測試,-1.04,40.0,2/5,-23.98,-29.66,10.44,18.83
34,IC設計,-0.1,38.46,5/13,-55.34,50.62,20.3,96.76
35,軟體設計,-0.18,33.33,5/15,-0.9,-0.22,0.0,0.01
36,軍工_航太製造與維修,0.49,33.33,2/6,1.5,-4.12,-0.02,0.01
37,記憶體製造,-0.94,25.0,1/4,-120.38,487.75,-2.06,10.78
