排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體製造,3.27,100.0,4/4,25.52,-88.92,0.93,3.67
2,記憶體封裝與測試,3.5,100.0,4/4,16.55,27.19,-7.36,-19.73
3,記憶體模組,5.56,100.0,7/7,45.56,35.57,-10.97,-34.89
4,BBU_電池模組,1.76,71.43,5/7,10.75,4.82,5.74,6.94
5,被動元件,1.0,68.42,13/19,-46.83,-116.05,-2.44,-7.55
6,軟體設計,0.35,66.67,10/15,-0.17,-1.25,-0.01,-0.06
7,記憶體控制IC,1.76,60.0,3/5,-0.77,-2.26,0.09,0.06
8,航運,0.44,53.33,8/15,5.78,5.64,-0.07,3.49
9,銀,2.31,50.0,2/4,-8.88,-40.3,1.29,1.49
10,TPU_散熱,0.43,50.0,2/4,-2.11,-20.59,-2.81,-6.29
11,CPO_光通訊,-1.51,50.0,3/6,-21.75,-31.31,2.35,-6.97
12,光學元件或組裝,-0.04,46.67,7/15,-28.78,-38.79,4.83,-1.91
13,玻璃,0.62,46.67,7/15,-1.95,-8.98,4.62,1.43
14,電池或電源,0.04,45.0,9/20,-41.29,-106.72,3.83,6.64
15,廠務系統與水處理,0.66,42.86,3/7,4.35,6.48,2.05,3.21
16,CPO_先進封裝測試,-0.99,40.0,2/5,1.91,-6.94,-6.34,-9.34
17,紡織,-4.83,40.0,8/20,2.21,2.82,-4.11,-8.36
18,IC設計,0.31,38.46,5/13,4.8,-11.96,-0.71,-12.41
19,網通設備組件,-0.42,35.0,7/20,-37.06,-93.46,15.65,38.95
20,PCB,0.46,33.33,5/15,-9.08,-68.58,11.48,19.41
21,軍工_無人機相關,-0.49,33.33,3/9,-3.53,14.86,6.85,8.72
22,半導體設備,-0.97,28.57,2/7,-0.28,-1.83,-3.47,-7.39
23,機器人,-0.34,28.57,4/14,-38.97,-75.07,-3.67,-10.56
24,工業自動化與機器人,-0.57,28.57,2/7,-1.27,-2.94,-0.02,-0.01
25,金融,-0.66,26.32,5/19,-3.37,-8.24,0.78,0.66
26,TPU_光通訊與連接器,-2.38,25.0,1/4,-22.06,-77.83,9.21,40.26
27,塑膠,-0.78,22.22,4/18,-3.37,-8.24,0.78,0.66
28,BBU_電源供應器與整合,-1.37,20.0,1/5,-41.46,-82.32,-0.82,-3.51
29,銅,-0.63,20.0,2/10,1.76,-55.55,11.58,16.79
30,無塵室與機電工程,-0.63,20.0,1/5,-5.35,-6.58,2.23,10.04
31,化學,-0.31,20.0,4/20,-6.54,-18.84,1.27,1.6
32,電器電纜,-1.08,20.0,2/10,-14.89,-49.73,-2.94,-1.25
33,造紙,-1.08,14.29,1/7,-0.25,-0.43,-0.0,-0.01
34,鋼鐵,-1.44,13.33,2/15,-19.13,-30.07,4.81,9.97
35,TPU_伺服器主板與印刷電路板,-0.61,0.0,0/5,-12.41,-30.38,4.41,8.51
36,軍工_航太製造與維修,-1.0,0.0,0/6,-1.57,-3.48,-0.0,0.06
