排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,8021,其他電子業,尖點,18.3,70.4,133.0,171.0,130.0,162.5,22.2
2,2402,電子工業,毅嘉,11.0,22.6,51.2,68.6,50.1,63.8,24.6
3,6624,其他,萬年清,11.4,22.4,66.5,75.0,0.0,68.0,2.3
4,5309,電子零組件類,系統電,7.2,22.2,61.1,72.5,60.3,71.7,17.3
5,3551,其他電子類,世禾,9.3,18.8,171.0,218.0,170.5,217.0,26.9
6,4977,通信網路業,眾達-KY,3.9,17.1,124.0,147.0,122.0,147.0,18.5
7,3167,電機機械,大量,7.5,15.9,204.5,246.0,203.5,233.0,13.9
8,6706,光電業,惠特,4.2,13.5,105.5,125.0,105.0,118.5,12.3
9,8110,半導體業,華東,7.6,13.5,37.9,59.5,37.25,54.6,44.1
10,3450,半導體業,聯鈞,3.8,13.0,253.0,289.0,249.0,269.0,6.3
11,4971,半導體類,IET-KY,5.5,12.9,230.0,278.0,218.0,270.0,17.4
12,3550,電子工業,聯穎,4.9,12.0,12.85,13.0,12.35,12.4,-3.5
13,4927,電子工業,泰鼎-KY,3.8,10.5,22.8,29.4,22.6,29.15,27.9
14,6530,通信網路類,創威,1.3,10.4,64.8,69.7,64.2,67.0,3.4
15,8358,電子零組件類,金居,5.2,9.7,237.0,292.5,233.0,268.5,13.3
16,8431,其他電子類,匯鑽科,3.6,9.2,51.7,61.5,48.5,60.2,16.4
17,3090,電子工業,日電貿,5.2,8.8,85.3,110.0,85.3,104.5,22.5
18,3060,電子工業,銘異,1.1,8.7,26.9,32.75,26.65,32.75,21.7
19,1560,電機機械,中砂,4.9,8.6,334.5,379.5,334.5,369.0,10.3
20,3131,其他電子類,弘塑,3.4,8.3,1370.0,1570.0,1350.0,1515.0,10.6
21,3105,半導體類,穩懋,4.2,8.2,148.5,184.5,144.0,182.0,22.6
22,6443,光電業,元晶,1.3,8.2,13.1,19.25,12.95,19.25,46.9
23,6494,半導體類,九齊,1.3,7.9,38.3,38.55,36.0,36.3,-5.2
24,8074,電子零組件類,鉅橡,3.4,7.7,34.95,41.5,33.9,39.5,13.0
25,4951,半導體類,精拓科,1.5,7.1,67.0,68.4,66.2,67.8,1.2
26,5498,電子零組件類,凱崴,2.4,7.1,26.0,29.9,25.25,29.4,13.1
27,3588,半導體業,通嘉,1.6,7.1,47.4,50.4,46.75,48.5,2.3
28,6233,半導體類,旺玖,1.4,6.3,20.95,21.6,20.3,21.4,2.1
29,1815,電子零組件類,富喬,2.4,6.1,83.1,91.0,81.3,84.4,1.6
30,3715,電子工業,定穎投控,2.7,6.0,112.5,127.0,110.0,120.0,6.7
31,3587,其他電子類,閎康,2.1,5.9,205.0,210.5,201.0,204.5,-0.2
32,1785,其他電子類,光洋科,2.7,5.9,57.3,66.4,56.6,64.7,12.9
33,8028,半導體業,昇陽半導體,1.9,5.9,160.5,177.5,158.5,173.5,8.1
34,1565,生技醫療類,精華,0.9,5.7,128.5,128.5,118.0,120.0,-6.6
35,5201,資訊服務類,凱衛,2.6,5.4,44.95,47.85,44.75,47.85,6.5
36,6570,電腦及週邊類,維田,2.1,5.3,38.8,40.8,38.0,38.3,-1.3
37,6290,電子零組件類,良維,2.4,5.2,171.5,192.5,165.0,183.5,7.0
38,2467,電子工業,志聖,3.4,5.2,205.0,245.5,203.0,244.5,19.3
39,6593,資訊服務類,台灣銘板,2.2,5.2,41.5,41.7,39.5,39.55,-4.7
40,3211,電腦及週邊類,順達,2.6,4.9,262.5,294.5,255.0,283.0,7.8
41,6683,半導體類,雍智科技,1.1,4.9,461.0,469.0,431.5,434.0,-5.9
42,2496,其他,卓越,2.3,4.9,68.2,69.3,68.1,68.6,0.6
43,6275,電子零組件類,元山,1.5,4.9,47.85,56.8,47.1,54.0,12.9
44,6438,其他電子業,迅得,1.6,4.5,139.5,144.5,137.5,137.5,-1.4
45,3013,電子工業,晟銘電,2.4,4.5,133.0,142.0,133.0,139.0,4.5
46,3141,半導體類,晶宏,0.8,4.4,51.5,56.0,50.0,52.7,2.3
47,2388,半導體業,威盛,2.9,4.4,52.1,69.9,51.1,64.1,23.0
48,6432,電子零組件類,今展科,1.4,4.3,34.55,38.5,33.95,35.6,3.0
49,8039,電子工業,台虹,2.5,4.3,78.5,105.5,77.0,103.5,31.8
50,3441,光電業類,聯一光,1.3,4.3,38.9,42.2,37.5,40.85,5.0
