股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2337,旺宏,37.65,5,5983000,1196,39.2,35.85,9.34%
2357,華碩,577.0,4,8793974,1758,601.0,576.0,4.34%
2404,漢唐,957.0,5,2930732,586,1000.0,888.0,12.61%
2458,義隆,123.5,4,2682545,536,129.5,121.0,7.02%
2606,裕民,63.0,5,10288806,2057,64.2,58.8,9.18%
2880,華南金,31.8,4,17835966,3567,31.9,30.3,5.28%
2883,凱基金,17.45,5,4253139,850,17.7,16.6,6.63%
2884,玉山金,33.5,4,34629366,6925,33.8,31.95,5.79%
2887,台新金,21.25,4,290373438,58074,21.6,19.15,12.79%
3036,文曄,146.0,4,7119000,1423,153.5,145.0,5.86%
3211,順達,304.5,4,2934000,586,309.0,272.5,13.39%
4938,和碩,69.2,4,4946851,989,70.6,67.5,4.59%
6770,力積電,34.8,4,5849000,1169,35.8,33.1,8.16%
