排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,銀,1.82,100.0,4/4,-3.24,-13.08,0.56,-0.99
2,記憶體模組,8.55,100.0,7/7,19.58,18.98,-0.0,-2.95
3,記憶體製造,7.07,100.0,4/4,56.89,-32.74,-6.76,-15.17
4,記憶體封裝與測試,3.46,100.0,4/4,0.96,-5.35,-0.35,-7.32
5,光學元件或組裝,2.38,86.67,13/15,-1.14,3.9,-1.2,-13.13
6,半導體設備,3.92,85.71,6/7,5.74,12.67,0.0,0.14
7,軍工_航太製造與維修,1.22,83.33,5/6,-0.33,-1.18,-0.0,0.1
8,無塵室與機電工程,1.49,80.0,4/5,-11.31,-23.19,1.57,2.79
9,航運,1.67,80.0,12/15,60.17,37.37,-0.46,-2.22
10,PCB,2.91,80.0,12/15,-76.99,1.04,27.37,25.5
11,塑膠,1.69,72.22,13/18,-9.93,-42.05,24.37,28.39
12,低軌衛星,2.76,71.43,5/7,12.57,-37.24,-1.23,-1.4
13,銅,0.65,70.0,7/10,-41.31,-65.49,14.79,3.31
14,被動元件,1.76,68.42,13/19,-16.19,-42.8,-6.03,-11.51
15,金融,1.45,68.42,13/19,-9.93,-42.05,24.37,28.39
16,CPO_光通訊,2.34,66.67,4/6,-13.41,-10.25,5.07,-1.69
17,化學,1.07,65.0,13/20,-14.92,-51.76,24.22,28.3
18,機器人,2.18,64.29,9/14,-7.77,-9.95,-9.13,-11.99
19,記憶體控制IC,2.8,60.0,3/5,2.82,-2.69,-0.0,0.09
20,工業自動化與機器人,1.61,57.14,4/7,0.4,3.12,-0.19,-0.19
21,造紙,0.23,57.14,4/7,-0.09,-1.14,0.0,0.05
22,軍工_無人機相關,0.38,55.56,5/9,-12.04,-85.06,-4.44,-12.9
23,網通設備組件,1.28,55.0,11/20,-32.67,-144.97,-11.99,-26.53
24,玻璃,0.96,53.33,8/15,-5.98,37.38,-1.72,-23.14
25,紡織,0.15,50.0,10/20,-3.65,-15.96,-0.04,0.6
26,TPU_光通訊與連接器,0.32,50.0,2/4,-9.57,-50.82,-4.17,-20.22
27,軟體設計,0.14,46.67,7/15,0.43,0.8,0.23,0.17
28,BBU_電源供應器與整合,0.13,40.0,2/5,-16.4,-23.52,-7.12,-9.9
29,TPU_伺服器主板與印刷電路板,-0.35,40.0,2/5,-21.74,44.07,-3.75,11.18
30,CPO_先進封裝測試,1.64,40.0,2/5,2.28,-3.57,-2.4,0.99
31,鋼鐵,-0.05,33.33,5/15,-5.64,-10.24,-0.76,-0.42
32,IC設計,-0.12,30.77,4/13,-16.27,-57.63,-11.74,-36.61
33,電器電纜,-0.28,30.0,3/10,-1.27,-6.49,-0.78,-2.64
34,廠務系統與水處理,-0.72,28.57,2/7,1.58,1.74,0.0,0.14
35,TPU_散熱,-0.94,25.0,1/4,-7.76,-5.77,-1.0,-10.25
36,電池或電源,-0.6,20.0,4/20,-19.8,-30.55,-8.1,-12.06
37,BBU_電池模組,-0.65,0.0,0/7,1.62,0.5,-0.12,1.17
