排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6470,通信網路類,宇智,15.8,64.0,53.6,53.8,51.3,52.5,-2.1
2,6530,通信網路類,創威,4.9,38.3,75.2,82.9,70.2,82.2,9.3
3,8271,半導體業,宇瞻,13.6,31.1,117.0,173.5,111.5,173.5,48.3
4,2485,通信網路業,兆赫,8.2,30.7,50.5,64.9,50.1,62.0,22.8
5,3645,電子工業,達邁,10.7,27.2,63.0,86.0,62.2,80.9,28.4
6,8112,電子工業,至上,10.2,24.5,69.3,92.0,63.5,87.0,25.5
7,1785,其他電子類,光洋科,10.3,21.5,63.7,85.4,62.1,82.0,28.7
8,4973,半導體類,廣穎,6.7,21.1,42.25,67.2,41.85,67.2,59.1
9,3481,光電業,群創,6.9,17.8,25.6,33.3,25.15,29.7,16.0
10,3498,其他電子類,陽程,6.6,15.3,60.7,77.3,55.4,72.8,19.9
11,2070,電機機械,精湛,6.6,12.3,39.05,39.95,36.35,38.45,-1.5
12,6727,電子零組件類,亞泰金屬,3.1,11.9,199.0,261.0,176.5,261.0,31.2
13,3580,其他電子類,友威科,1.4,11.7,64.9,71.7,62.3,70.8,9.1
14,3663,其他電子類,鑫科,6.9,11.6,56.1,76.0,51.1,74.0,31.9
15,4956,光電業,光鋐,4.3,11.4,24.25,31.2,21.95,31.2,28.7
16,3011,電子工業,今皓,3.2,11.2,12.35,13.2,11.85,12.3,-0.4
17,2426,光電業,鼎元,4.3,10.0,21.55,33.95,21.2,33.85,57.1
18,1582,電子工業,信錦,3.1,9.5,82.0,92.7,80.4,90.3,10.1
19,3437,光電業,榮創,2.0,8.4,14.95,19.4,14.0,19.4,29.8
20,6231,資訊服務類,系微,2.5,8.3,188.0,214.5,181.5,213.5,13.6
21,1727,化學工業,中華化,4.7,8.2,48.55,60.8,43.6,60.8,25.2
22,4303,塑膠工業,信立,1.6,8.1,51.7,60.9,50.1,59.0,14.1
23,8064,光電業類,東捷,3.4,8.1,48.3,58.3,46.0,56.2,16.4
24,6658,其他電子業,聯策,2.8,7.3,57.2,70.4,54.0,69.3,21.2
25,2367,電子工業,燿華,2.3,7.2,68.5,73.8,60.5,72.6,6.0
26,2409,光電業,友達,3.1,7.2,15.2,18.0,14.7,16.55,8.9
27,6568,半導體類,宏觀,2.9,6.7,162.5,198.0,161.5,198.0,21.8
28,3213,電腦及週邊類,茂訊,1.5,6.3,99.4,104.0,97.1,101.5,2.1
29,2406,光電業,國碩,1.9,6.3,31.8,35.7,30.7,33.95,6.8
30,8039,電子工業,台虹,3.5,5.9,99.0,140.0,92.7,128.0,29.3
31,2461,其他電子業,光群雷,2.3,5.8,15.65,16.05,15.05,15.45,-1.3
32,2365,電子工業,昆盈,1.1,5.6,33.4,35.9,31.1,34.8,4.2
33,3708,化學工業,上緯投控,2.8,5.4,115.0,133.5,108.5,130.0,13.0
34,4949,光電業,有成精密,2.9,5.2,46.85,68.4,45.9,68.4,46.0
35,4966,半導體類,譜瑞-KY,1.8,5.1,519.0,538.0,483.0,522.0,0.6
36,6127,電子零組件類,九豪,1.0,4.9,36.6,38.1,33.3,35.1,-4.1
37,6861,化學生技醫療,睿生光電,2.9,4.8,145.0,179.5,135.5,172.5,19.0
38,3323,電腦及週邊類,加百裕,0.9,4.7,35.5,36.8,32.3,35.4,-0.3
39,4967,半導體業,十銓,1.4,4.7,189.5,202.5,170.5,197.0,4.0
40,6588,通信網路類,東典光電,1.7,4.7,81.0,86.0,68.8,83.0,2.5
41,2727,觀光事業,王品,1.4,4.3,227.0,232.0,223.5,228.0,0.4
42,8277,半導體類,商丞,0.7,4.3,9.18,9.18,7.39,8.3,-9.6
43,2230,電機機械,泰茂,1.9,4.3,29.1,37.15,29.1,35.4,21.6
44,8027,電機機械,鈦昇,1.5,4.2,97.7,111.0,85.8,109.0,11.6
45,6190,通信網路類,萬泰科,1.5,4.2,48.9,51.9,43.75,50.3,2.9
46,2481,半導體業,強茂,2.4,4.1,89.9,99.4,82.4,96.9,7.8
47,5289,電腦及週邊類,宜鼎,1.7,4.1,780.0,1065.0,755.0,1015.0,30.1
48,8261,半導體業,富鼎,1.6,4.0,96.8,111.0,93.6,111.0,14.7
49,6109,通信網路類,亞元,1.7,4.0,12.35,12.4,11.6,12.25,-0.8
50,2355,電子工業,敬鵬,1.6,4.0,41.25,44.25,39.15,42.3,2.5
