股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1309,台達化,16.3,31.98%,23457,4.75
1708,東鹼,43.2,15.66%,17038,4.82
1711,永光,35.5,30.51%,39238,2.0
2426,鼎元,34.45,73.99%,10795,6.65
2485,兆赫,68.2,37.78%,146216,2.2
2603,長榮,218.5,4.05%,41089,1.5
2605,新興,38.2,2.96%,56548,1.72
3260,威剛,395.0,35.51%,28665,1.68
3645,達邁,83.2,21.82%,28205,4.61
3714,富采,47.0,21.29%,23463,3.57
4956,光鋐,32.45,26.26%,37526,3.46
4973,廣穎,73.9,58.75%,19814,2.49
5351,鈺創,70.1,20.24%,48431,2.01
6451,訊芯-KY,237.0,15.89%,12506,1.7
8064,東捷,61.8,25.87%,10146,1.62
8096,擎亞,83.2,17.68%,27749,2.61
8240,華宏,49.3,22.33%,10087,2.79
8261,富鼎,112.5,13.87%,16210,3.06
