股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1310,台苯,11.75,25.94%,23707,4.72
1312,國喬,14.05,0.0%,27945,3.54
1582,信錦,91.4,30.57%,10892,4.86
1708,東鹼,38.45,6.81%,10524,3.02
1710,東聯,14.0,3.32%,11065,2.88
1718,中纖,7.69,6.51%,14834,3.39
1785,光洋科,83.5,34.89%,68544,3.71
2426,鼎元,30.9,59.28%,13888,6.98
2485,兆赫,60.8,44.76%,70654,1.75
2897,王道銀行,9.98,2.67%,11188,1.52
3036,文曄,231.5,26.5%,10904,1.51
3481,群創,32.95,33.94%,1690701,2.56
3498,陽程,73.5,48.48%,10017,1.87
3714,富采,43.65,14.27%,21369,2.4
4960,誠美材,21.15,50.53%,18419,5.91
4989,榮科,71.9,15.41%,61562,1.59
6456,GIS-KY,64.3,47.99%,21497,3.96
