排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,5381,電子零組件類,合正,45.4,83.2,,,,,
2,3455,光電業類,由田,10.6,37.5,129.0,202.0,128.5,193.5,50.0
3,4989,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),榮科,9.7,33.3,66.6,80.7,62.7,80.7,21.2
4,1815,電子零組件類,富喬,12.7,30.2,100.0,122.5,96.3,110.0,10.0
5,3450,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),聯鈞,7.3,23.9,251.0,311.5,241.0,306.5,22.1
6,6672,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),騰輝電子-KY,6.2,22.7,132.0,155.5,127.5,150.0,13.6
7,3234,通信網路類,光環,5.8,21.0,87.8,115.5,83.1,114.0,29.8
8,8028,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),昇陽半導體,7.6,18.3,179.0,207.5,170.0,199.0,11.2
9,3689,電子零組件類,湧德,4.9,17.7,114.0,142.5,111.5,135.0,18.4
10,3289,其他電子類,宜特,4.9,15.9,133.5,159.5,128.0,155.5,16.5
11,2367,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),燿華,4.8,15.8,75.4,81.2,70.7,75.0,-0.5
12,8937,其他,合騏,13.1,15.1,,,,,
13,5443,光電業類,均豪,5.5,14.4,101.5,118.5,99.8,116.0,14.3
14,6706,光電業,惠特,3.9,14.4,118.0,140.0,116.0,140.0,18.6
15,3580,其他電子類,友威科,2.0,13.3,70.2,82.8,69.3,79.7,13.5
16,4968,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),立積,2.1,12.7,105.5,109.0,101.5,104.5,-0.9
17,3322,電子零組件類,建舜電,4.2,12.5,12.8,14.15,12.7,13.4,4.7
18,2409,光電業,友達,5.4,12.3,16.5,19.5,16.05,18.15,10.0
19,6152,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),百一,2.7,12.0,16.05,18.7,15.55,17.9,11.5
20,3026,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),禾伸堂,5.4,11.8,142.5,201.5,137.0,194.0,36.1
21,2489,光電業,瑞軒,5.1,11.6,33.65,47.0,31.8,45.3,34.6
22,4908,通信網路類,前鼎,4.8,9.7,103.5,129.0,101.0,129.0,24.6
23,6658,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),聯策,3.6,9.4,74.1,82.6,70.1,81.7,10.3
24,4760,其他電子類,勤凱,4.3,9.0,205.0,265.0,187.5,253.0,23.4
25,5439,電子零組件類,高技,4.2,9.0,285.0,348.5,273.5,334.5,17.4
26,3162,電機機械,精確,5.0,8.8,58.3,69.0,58.3,63.2,8.4
27,8021,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),尖點,4.2,8.8,250.0,317.5,242.5,317.5,27.0
28,6494,半導體類,九齊,1.3,7.9,44.9,49.7,42.8,49.2,9.6
29,8039,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),台虹,4.3,7.3,111.5,146.0,111.5,137.0,22.9
30,1449,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),佳和,2.8,6.8,12.4,17.05,12.2,15.75,27.0
31,8147,電子零組件類,正淩,3.2,6.8,134.0,155.5,133.0,155.5,16.0
32,4951,半導體類,精拓科,1.4,6.7,68.6,74.2,66.7,71.4,4.1
33,3167,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),大量,4.0,6.6,418.0,633.0,416.0,633.0,51.4
34,3498,其他電子類,陽程,3.0,6.6,74.3,90.1,72.1,79.7,7.3
35,6664,電子零組件類,群翊,3.8,6.5,345.5,416.0,345.0,385.5,11.6
36,2486,光電業,一詮,3.1,6.4,149.0,191.0,142.5,185.5,24.5
37,1717,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),長興,4.3,6.4,60.8,80.6,60.1,80.0,31.6
38,6761,電子零組件類,穩得,2.5,6.2,162.0,200.0,157.5,192.5,18.8
39,6788,半導體類,華景電,1.6,6.2,369.5,406.0,360.5,365.0,-1.2
40,5243,光電業,乙盛-KY,4.0,6.1,90.0,124.5,89.4,119.0,32.2
41,6190,通信網路類,萬泰科,2.1,5.9,55.7,66.5,52.6,63.3,13.6
42,8358,電子零組件類,金居,2.8,5.9,247.0,285.0,230.0,273.5,10.7
43,4927,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),泰鼎-KY,1.7,5.7,42.05,46.75,40.25,43.85,4.3
44,3583,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),辛耘,3.2,5.6,470.0,673.0,461.0,673.0,43.2
45,6226,光電業,光鼎,1.2,5.5,12.8,14.8,10.8,13.2,3.1
46,2481,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),強茂,3.1,5.4,90.6,109.5,90.6,101.0,11.5
47,3138,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),耀登,1.4,5.4,173.0,191.0,160.0,185.0,6.9
48,3163,通信網路類,波若威,2.2,5.2,923.0,1260.0,923.0,1260.0,36.5
49,8103,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),瀚荃,2.4,5.0,81.8,92.9,78.2,88.6,8.3
50,2476,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),鉅祥,2.6,4.8,84.0,106.0,83.2,99.9,18.9
