股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1301,台塑,47.5,4,3060662,612,49.3,45.5,8.35%
2347,聯強,78.8,4,4423468,884,79.1,74.8,5.75%
2382,廣達,289.0,5,2921948,584,291.5,278.0,4.86%
2618,長榮航,34.5,4,3362266,672,35.4,33.85,4.58%
2881,富邦金,87.7,5,8859297,1771,88.4,85.8,3.03%
2882,國泰金,71.9,5,14120741,2824,72.5,69.1,4.92%
2883,凱基金,20.55,4,4946153,989,20.75,19.2,8.07%
2885,元大金,46.5,5,10487320,2097,47.2,44.0,7.27%
2886,兆豐金,39.4,5,3461760,692,39.45,38.2,3.27%
2887,台新金,24.35,4,32397282,6479,24.75,23.1,7.14%
2891,中信金,55.8,5,25829373,5165,56.0,51.3,9.16%
3231,緯創,123.5,4,3527648,705,128.0,122.5,4.49%
3702,大聯大,89.1,4,13623585,2724,92.9,86.5,7.40%
4904,遠傳,93.3,4,3219682,643,93.8,90.7,3.42%
