排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,記憶體模組,0.97,71.43,5/7,-36.41,-38.41,0.14,-1.98
2,航運,0.59,66.67,10/15,26.24,55.25,0.64,-8.58
3,軍工_航太製造與維修,1.7,66.67,4/6,4.33,-6.66,0.05,-2.33
4,廠務系統與水處理,-0.47,57.14,4/7,-3.12,-6.11,0.01,-0.01
5,TPU_散熱,-0.55,50.0,2/4,-7.49,2.2,17.09,23.02
6,鋼鐵,-0.61,46.67,7/15,6.03,31.75,-0.11,1.67
7,IC設計,-1.44,46.15,6/13,-36.62,-22.14,-11.18,21.12
8,造紙,-0.34,42.86,3/7,-0.08,-0.11,0.0,-0.03
9,無塵室與機電工程,-1.92,40.0,2/5,-18.61,-15.06,3.07,0.66
10,記憶體控制IC,-1.03,40.0,2/5,0.2,9.64,0.01,-0.43
11,CPO_光通訊,-1.89,33.33,2/6,-55.66,-82.4,28.57,33.61
12,紡織,-0.46,30.0,6/20,3.61,3.55,1.22,-0.97
13,工業自動化與機器人,-2.02,28.57,2/7,0.69,4.77,-0.04,2.69
14,銀,-4.69,25.0,1/4,9.6,-18.14,-6.38,-5.92
15,軟體設計,-0.73,20.0,3/15,-0.01,0.25,0.0,-0.03
16,化學,-3.22,20.0,4/20,-26.66,14.82,2.28,11.82
17,TPU_伺服器主板與印刷電路板,-4.32,20.0,1/5,-20.52,-3.68,-3.41,1.82
18,機器人,-2.39,14.29,2/14,-25.91,-27.32,1.55,22.83
19,BBU_電池模組,-2.22,14.29,1/7,-3.21,-3.11,0.49,-1.1
20,玻璃,-4.17,13.33,2/15,-6.01,-0.41,-4.46,26.41
21,光學元件或組裝,-3.25,13.33,2/15,-64.7,-110.8,31.12,55.04
22,塑膠,-3.12,11.11,2/18,-28.58,9.83,0.69,10.59
23,軍工_無人機相關,-1.42,11.11,1/9,-35.48,10.74,-9.67,6.88
24,金融,-3.07,10.53,2/19,-28.58,9.83,0.69,10.59
25,網通設備組件,-2.42,10.0,2/20,-100.37,-78.8,39.15,82.48
26,PCB,-6.27,6.67,1/15,-69.07,-202.91,-13.7,31.5
27,被動元件,-5.74,5.26,1/19,-11.31,-52.62,-6.06,13.48
28,電池或電源,-2.82,5.0,1/20,-37.28,-22.13,1.81,20.85
29,半導體設備,-4.34,0.0,0/7,-4.92,-8.6,-4.38,8.73
30,記憶體製造,-5.21,0.0,0/4,-83.59,-26.64,-33.75,-37.24
31,記憶體封裝與測試,-5.2,0.0,0/4,-15.06,-36.63,-2.16,0.41
32,BBU_電源供應器與整合,-3.03,0.0,0/5,-28.32,-11.78,2.05,21.03
33,低軌衛星,-4.19,0.0,0/7,-17.98,-18.87,-0.89,9.22
34,TPU_光通訊與連接器,-4.03,0.0,0/4,-55.11,-92.35,20.25,34.85
35,銅,-5.66,0.0,0/10,-17.07,-128.87,-6.14,26.06
36,CPO_先進封裝測試,-2.59,0.0,0/5,-1.51,-5.41,-4.81,-12.94
37,電器電纜,-1.91,0.0,0/10,-5.26,-0.72,0.04,-0.67
