股票代碼,公司名稱,符合策略數,符合策略
2603,長榮,3,"外資買超, 強勢股, 盤整突破"
2363,矽統,3,"外資買超, 大戶持有, 強勢股"
3019,亞光,3,"外資買超, 大戶持有, 強勢股"
3048,益登,3,"外資買超, 大戶持有, 強勢股"
3305,昇貿,3,"外資買超, 大戶持有, 強勢股"
3357,臺慶科,3,"外資買超, 大戶持有, 強勢股"
3490,單井,3,"大戶持有, 強勢股, 盤整突破"
3035,智原,2,"強勢股, 隔日衝"
2436,偉詮電,2,"外資買超, 隔日衝"
2344,華邦電,2,"外資買超, 大戶持有"
2367,燿華,2,"外資買超, 大戶持有"
2324,仁寶,2,"外資買超, 盤整突破"
2377,微星,2,"外資買超, 強勢股"
2312,金寶,2,"外資買超, 強勢股"
2356,英業達,2,"外資買超, 強勢股"
3481,群創,2,"外資買超, 大戶持有"
3706,神達,2,"外資買超, 投信連續"
3006,晶豪科,2,"外資買超, 大戶持有"
3149,正達,2,"外資買超, 強勢股"
6265,方土昶,2,"外資買超, 大戶持有"
6120,達運,2,"外資買超, 盤整突破"
2374,佳能,2,"外資買超, 強勢股"
2485,兆赫,2,"外資買超, 大戶持有"
3707,漢磊,2,"外資買超, 大戶持有"
4540,全球傳動,2,"外資買超, 強勢股"
3673,TPK-KY,2,"外資買超, 強勢股"
1727,中華化,2,"外資買超, 強勢股"
5309,系統電,2,"外資買超, 強勢股"
2492,華新科,2,"外資買超, 大戶持有"
2388,威盛,2,"外資買超, 強勢股"
2375,凱美,2,"外資買超, 強勢股"
4931,新盛力,2,"外資買超, 大戶持有"
6278,台表科,2,"外資買超, 強勢股"
8028,昇陽半導體,2,"外資買超, 大戶持有"
3090,日電貿,2,"外資買超, 盤整突破"
6271,同欣電,2,"外資買超, 盤整突破"
4749,新應材,2,"外資買超, 大戶持有"
3167,大量,2,"外資買超, 盤整突破"
2892,第一金,2,"投信連續, 盤整突破"
8069,元太,2,"大戶持有, 投信連續"
2352,佳世達,2,"強勢股, 盤整突破"
2355,敬鵬,2,"強勢股, 盤整突破"
2401,凌陽,2,"強勢股, 盤整突破"
2484,希華,2,"強勢股, 盤整突破"
3033,威健,2,"大戶持有, 強勢股"
3615,安可,2,"強勢股, 盤整突破"
3663,鑫科,2,"強勢股, 盤整突破"
3704,合勤控,2,"強勢股, 盤整突破"
5328,華容,2,"強勢股, 盤整突破"
6155,鈞寶,2,"強勢股, 盤整突破"
6175,立敦,2,"強勢股, 盤整突破"
6207,雷科,2,"大戶持有, 強勢股"
6284,佳邦,2,"強勢股, 盤整突破"
6834,天二科技,2,"強勢股, 盤整突破"
8043,蜜望實,2,"強勢股, 盤整突破"
8261,富鼎,2,"大戶持有, 強勢股"
6237,驊訊,2,"大戶持有, 盤整突破"
1582,信錦,2,"大戶持有, 盤整突破"
3624,光頡,2,"大戶持有, 盤整突破"
