股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1210,大成,54.7,4,3606000,721,55.9,54.5,2.57%
1402,遠東新,28.85,4,29559767,5911,29.3,26.7,9.74%
2382,廣達,376.0,5,3857096,771,386.5,358.0,7.96%
2633,台灣高鐵,26.15,4,17919768,3583,26.6,25.35,4.93%
2884,玉山金,35.4,4,9328318,1865,36.25,33.95,6.77%
2886,兆豐金,45.5,5,62226510,12445,46.0,43.1,6.73%
2912,統一超,223.5,4,3410082,682,232.0,223.5,3.80%
3231,緯創,161.5,4,5797481,1159,166.0,156.0,6.41%
4915,致伸,75.9,4,4039315,807,78.8,75.1,4.93%
8926,台汽電,79.0,5,2740000,548,82.0,72.2,13.57%
