股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
3374,精材,2026-01-08,170.5,174.5,2.35%,27301,4903,5.57
2634,漢翔,2026-01-08,52.6,54.9,4.37%,44409,8507,5.22
6126,信音,2026-01-08,37.0,34.6,-6.49%,19749,2054,9.61
6116,彩晶,2026-01-08,11.25,11.65,3.56%,282348,29369,9.61
6026,福邦證,2026-01-08,13.55,14.1,4.06%,7773,1344,5.78
6016,康和證,2026-01-08,13.85,15.15,9.39%,31698,2897,10.94
6015,宏遠證,2026-01-08,11.35,12.35,8.81%,14118,1231,11.46
5864,致和證,2026-01-08,16.7,17.45,4.49%,7303,1229,5.94
5347,世界,2026-01-08,104.0,109.0,4.81%,99986,14124,7.08
6485,點序,2026-01-08,102.0,107.5,5.39%,14285,2846,5.02
8105,凌巨,2026-01-08,15.6,14.0,-10.26%,51464,5588,9.21
3027,盛達,2026-01-08,25.3,25.9,2.37%,8421,766,10.99
2855,統一證,2026-01-08,25.55,26.8,4.89%,20758,3179,6.53
6415,矽力*-KY,2026-01-08,229.0,221.0,-3.49%,22261,4387,5.07
1714,和桐,2026-01-08,8.48,8.97,5.78%,18741,2263,8.28
2409,友達,2026-01-08,16.95,15.65,-7.67%,941714,182268,5.17
2303,聯電,2026-01-08,57.0,52.8,-7.37%,646733,89306,7.24
4562,穎漢,2026-01-07,39.3,37.5,-4.58%,6517,787,8.27
8374,羅昇,2026-01-07,88.7,85.1,-4.06%,6204,656,9.45
1717,長興,2026-01-07,51.2,51.8,1.17%,127396,19551,6.52
2489,瑞軒,2026-01-07,17.6,15.8,-10.23%,35699,6291,5.67
1773,勝一,2026-01-07,160.0,164.0,2.5%,6696,979,6.83
2014,中鴻,2026-01-07,15.85,16.55,4.42%,39863,7276,5.48
6415,矽力*-KY,2026-01-07,210.0,221.0,5.24%,20098,3403,5.91
2305,全友,2026-01-07,12.3,11.5,-6.5%,5891,757,7.78
2342,茂矽,2026-01-07,36.15,33.7,-6.78%,16586,2635,6.29
1524,耿鼎,2026-01-07,27.7,30.3,9.39%,6168,1024,6.02
2409,友達,2026-01-07,16.4,15.65,-4.57%,852102,137232,6.21
1713,國化,2026-01-07,49.1,48.2,-1.83%,6040,644,9.37
8105,凌巨,2026-01-07,14.2,14.0,-1.41%,28057,3031,9.25
3630,新鉅科,2026-01-07,31.8,30.05,-5.5%,7444,1154,6.45
3532,台勝科,2026-01-07,112.0,113.5,1.34%,16280,2804,5.8
3374,精材,2026-01-07,160.0,174.5,9.06%,25725,3622,7.1
3033,威健,2026-01-07,33.5,31.5,-5.97%,20727,3120,6.64
8215,明基材,2026-01-07,21.5,21.0,-2.33%,10972,1123,9.76
8105,凌巨,2026-01-06,13.0,14.0,7.69%,12804,1642,7.8
6270,倍微,2026-01-06,25.55,24.1,-5.68%,5486,536,10.22
8240,華宏,2026-01-06,38.6,42.65,10.49%,9186,990,9.27
4130,健亞,2026-01-06,30.5,32.9,7.87%,7602,1240,6.13
6215,和椿,2026-01-06,107.5,104.0,-3.26%,6455,1136,5.68
6207,雷科,2026-01-06,55.5,51.3,-7.57%,8475,925,9.16
5388,中磊,2026-01-06,81.6,78.8,-3.43%,10976,1954,5.62
4960,誠美材,2026-01-06,13.5,13.45,-0.37%,5199,911,5.71
4720,德淵,2026-01-06,19.0,18.6,-2.11%,18233,1465,12.44
3707,漢磊,2026-01-06,56.8,56.6,-0.35%,37938,5775,6.57
3374,精材,2026-01-06,145.0,174.5,20.34%,14067,2415,5.82
3016,嘉晶,2026-01-06,58.0,60.0,3.45%,13923,2608,5.34
2464,盟立,2026-01-06,68.0,65.6,-3.53%,15965,2457,6.5
2359,所羅門,2026-01-06,137.5,132.0,-4.0%,12402,1772,7.0
1717,長興,2026-01-06,49.6,51.8,4.44%,83779,13445,6.23
2489,瑞軒,2026-01-06,15.9,15.8,-0.63%,28594,4574,6.25
