排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,6530,通信網路類,創威,14.1,77.5,98.7,125.5,94.0,125.5,27.2
2,2484,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),希華,11.0,49.5,30.8,43.85,30.65,42.4,37.7
3,6443,光電業,元晶,5.2,43.0,36.8,41.7,34.55,39.0,6.0
4,3057,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),喬鼎,8.6,38.6,17.2,20.35,16.8,18.6,8.1
5,4977,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),眾達-KY,7.0,35.4,194.0,235.5,188.5,235.5,21.4
6,5498,電子零組件類,凱崴,10.1,31.0,64.0,73.5,61.6,68.8,7.5
7,6109,通信網路類,亞元,12.9,29.9,11.85,12.8,11.75,11.95,0.8
8,3086,文化創意業,華義,22.8,29.5,,,,,
9,3221,通信網路類,台嘉碩,8.1,28.4,34.7,45.7,34.65,44.4,28.0
10,4989,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),榮科,10.2,26.3,74.8,107.0,73.0,102.5,37.0
11,6127,電子零組件類,九豪,6.3,25.3,39.5,52.9,39.2,50.3,27.3
12,6173,電子零組件類,信昌電,9.8,18.8,64.1,92.2,64.0,92.2,43.8
13,4916,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),事欣科,4.8,16.7,56.2,68.9,55.9,67.8,20.6
14,8358,電子零組件類,金居,8.4,16.7,279.0,367.5,267.0,367.5,31.7
15,4979,通信網路類,華星光,6.6,15.8,442.0,644.0,434.0,644.0,45.7
16,8111,光電業類,立碁,5.8,15.2,61.5,79.2,60.9,79.2,28.8
17,3450,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),聯鈞,5.2,13.7,295.0,372.5,282.5,366.0,24.1
18,3645,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),達邁,6.5,13.7,77.5,109.5,75.3,104.5,34.8
19,6706,光電業,惠特,4.1,13.3,133.0,159.5,128.0,151.5,13.9
20,8289,電子零組件類,泰藝,4.8,10.8,36.35,51.9,35.8,49.65,36.6
21,1597,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),直得,5.5,10.7,99.1,124.0,99.1,117.5,18.6
22,6182,半導體類,合晶,2.0,10.6,33.4,38.0,33.4,35.8,7.2
23,4956,光電業,光鋐,4.1,10.2,36.8,49.75,35.0,49.75,35.2
24,8043,電子零組件類,蜜望實,5.7,10.1,74.4,101.0,74.4,96.6,29.8
25,4540,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),全球傳動,3.8,9.9,44.0,58.1,42.55,57.9,31.6
26,3042,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),晶技,6.0,9.8,115.0,152.0,105.0,151.5,31.7
27,8150,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),南茂,6.5,9.6,62.0,75.0,61.0,67.3,8.5
28,6278,光電業,台表科,6.2,9.5,95.2,157.0,95.1,157.0,64.9
29,2399,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),映泰,2.5,8.9,35.65,38.35,32.25,35.25,-1.1
30,5439,電子零組件類,高技,4.5,8.8,334.5,411.5,328.0,401.5,20.0
31,3581,半導體類,博磊,5.2,8.8,71.0,119.0,70.3,119.0,67.6
32,8034,通信網路類,榮群,1.4,8.5,24.2,26.65,24.15,25.4,5.0
33,8155,電子零組件類,博智,5.0,8.5,323.5,384.5,305.0,377.5,16.7
34,1528,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),恩德,2.7,8.0,27.35,31.75,26.3,29.2,6.8
35,3413,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),京鼎,3.2,7.8,313.0,330.0,312.0,314.5,0.5
36,3289,其他電子類,宜特,2.7,7.5,156.0,189.0,146.5,180.0,15.4
37,6494,半導體類,九齊,1.3,7.3,48.0,55.6,48.0,54.3,13.1
38,2478,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),大毅,3.8,7.1,63.5,79.5,63.1,77.2,21.6
39,2481,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),強茂,4.3,7.1,101.5,118.0,98.5,118.0,16.3
40,3060,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),銘異,1.3,7.0,29.5,32.6,29.0,30.25,2.5
41,3339,光電業類,泰谷,2.0,7.0,47.3,69.3,45.05,69.3,46.5
42,3576,光電業,聯合再生,2.2,7.0,20.35,20.65,14.3,18.3,-10.1
43,2740,觀光事業,天蔥,4.7,6.9,35.9,38.8,33.8,38.5,7.2
44,3026,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),禾伸堂,3.4,6.7,186.5,245.0,186.5,233.5,25.2
45,6456,光電業,GIS-KY,3.4,6.6,54.6,82.8,51.9,77.6,42.1
46,2402,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),毅嘉,3.1,6.4,57.0,77.7,56.9,77.7,36.3
47,4908,通信網路類,前鼎,3.4,6.3,120.0,170.5,117.0,170.5,42.1
48,4939,電子零組件類,亞電,1.7,6.2,29.5,41.15,29.0,41.15,39.5
49,8033,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),雷虎,2.1,6.2,131.5,151.0,128.5,148.0,12.5
50,2329,全部(不含大盤、指數、權證、牛熊證、可展延牛熊證),華泰,3.2,6.1,52.5,63.3,51.7,61.5,17.1
