股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1714,和桐,15.2,60.0%,132650,5.6
2327,國巨,855.0,15.85%,90466,1.72
2413,環科,61.2,19.53%,23282,2.67
2484,希華,66.7,22.84%,55392,3.35
2610,華航,20.4,6.81%,79303,1.5
2801,彰銀,22.6,11.6%,39882,2.25
2834,臺企銀,17.3,6.46%,53413,1.5
3090,日電貿,256.0,11.79%,38888,1.85
3550,聯穎,29.05,40.68%,11919,3.07
4939,亞電,66.2,31.09%,12993,4.04
6153,嘉聯益,22.25,24.3%,28664,3.7
6173,信昌電,276.5,16.67%,20517,1.83
6834,天二科技,84.1,11.84%,12970,2.07
8105,凌巨,22.45,27.92%,41332,3.26
8112,至上,98.8,11.51%,68028,1.76
8932,智通*,106.5,5.97%,11263,1.63
