股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1102,亞泥,36.45,1.82%,17532,1.87
1301,台塑,62.1,20.12%,190058,2.03
1310,台苯,11.4,23.11%,25050,1.95
1312,國喬,15.1,11.85%,97061,2.42
1313,聯成,14.3,23.28%,38850,2.27
1314,中石化,9.88,26.99%,294715,3.2
1409,新纖,31.0,21.09%,79612,1.72
1434,福懋,18.9,11.5%,34675,3.01
1447,力鵬,9.99,65.67%,37908,5.24
1460,宏遠,8.58,19.17%,11227,3.69
1515,力山,42.0,62.16%,13280,4.4
1708,東鹼,60.7,20.68%,33243,1.84
1710,東聯,18.85,38.1%,43260,3.79
1718,中纖,14.95,51.62%,148912,4.95
2427,三商電,26.65,19.51%,15242,3.3
2484,希華,96.4,35.39%,117755,2.06
2634,漢翔,60.0,27.12%,45980,5.08
3055,蔚華科,152.5,67.4%,17863,1.89
4707,磐亞,33.8,46.96%,17036,2.91
4763,材料-KY,51.3,15.8%,23188,2.24
5328,華容,82.4,45.84%,57964,2.12
5371,中光電,93.1,33.0%,40232,4.7
5392,能率,48.55,12.12%,11200,1.5
5483,中美晶,210.5,16.3%,32536,1.88
6182,合晶,163.0,35.83%,197781,1.69
6505,台塑化,58.9,10.09%,42156,1.62
6525,捷敏-KY,183.0,27.97%,10745,1.76
8033,雷虎,204.5,57.92%,10966,4.37
8042,金山電,210.5,7.95%,31499,1.53
8182,加高,59.0,15.69%,23219,2.89
