股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1216,統一,76.3,5,4923101,984,77.2,73.8,4.61%
1402,遠東新,29.1,4,20576734,4115,29.9,28.0,6.79%
2027,大成鋼,41.15,5,34127033,6825,41.9,39.55,5.94%
2347,聯強,94.8,5,18460800,3692,98.3,90.9,8.14%
2356,英業達,67.6,5,24362944,4872,69.2,63.8,8.46%
2376,技嘉,338.5,5,6058127,1211,348.5,320.0,8.91%
2377,微星,143.0,5,30862679,6172,147.0,133.5,10.11%
2382,廣達,377.0,5,11738228,2347,378.0,363.0,4.13%
2412,中華電,141.0,5,18180890,3636,144.5,141.0,2.48%
2458,義隆,184.0,5,6994659,1398,196.0,172.5,13.62%
2474,可成,207.0,5,7811405,1562,214.0,200.5,6.73%
2542,興富發,43.65,5,12783000,2556,43.8,42.1,4.04%
2610,華航,22.55,4,64334082,12866,23.9,22.3,7.17%
2618,長榮航,43.85,5,54851762,10970,45.0,43.15,4.29%
2633,台灣高鐵,26.8,5,19992000,3998,26.85,26.05,3.07%
2801,彰銀,23.3,4,130076580,26015,24.2,23.1,4.76%
2845,遠東銀,13.15,5,18933740,3786,13.3,12.85,3.50%
2880,華南金,37.65,4,3794860,758,38.4,36.1,6.37%
2886,兆豐金,45.5,5,153649027,30729,47.4,44.75,5.92%
2890,永豐金,39.7,5,131826153,26365,40.65,38.95,4.36%
2891,中信金,70.6,4,19916560,3983,72.2,69.7,3.59%
2892,第一金,32.4,5,167659249,33531,33.35,32.0,4.22%
2903,遠百,22.05,5,7717000,1543,23.45,21.55,8.82%
3014,聯陽,160.0,5,2521767,504,164.0,153.0,7.19%
3045,台灣大,116.5,5,23672867,4734,120.0,116.0,3.45%
3231,緯創,159.0,5,28200942,5640,162.0,153.5,5.54%
3293,鈊象,797.0,5,4748000,949,819.0,749.0,9.35%
3702,大聯大,110.0,5,46536414,9307,113.0,103.5,9.18%
3706,神達,91.0,5,28342000,5668,94.2,84.4,11.61%
4904,遠傳,105.0,5,25965662,5193,108.5,102.0,6.37%
4915,致伸,66.4,5,5455022,1091,68.3,64.0,6.72%
5469,瀚宇博,87.5,5,10602000,2120,94.0,84.2,11.64%
5876,上海商銀,42.0,5,16300000,3260,42.8,41.55,3.01%
6139,亞翔,948.0,5,2966100,593,987.0,891.0,10.77%
6191,精成科,108.0,5,14264000,2852,113.5,101.0,12.38%
8070,長華*,56.0,5,4258803,851,57.2,52.4,9.16%
8112,至上,92.9,5,16884051,3376,96.5,86.8,11.18%
8422,可寧衛,28.35,4,7643000,1528,29.45,26.5,11.13%
8926,台汽電,75.0,4,3712693,742,78.8,72.3,8.99%
