排名,股票代碼,公司名稱,公司產業,上市櫃,5天正天數,今日主力買超(張),5日累積買超(張)
1,1314,中石化,塑膠工業,上市,5,31602,73682
2,1303,南亞,塑膠工業,上市,5,7540,29400
3,6182,合晶,半導體業,上櫃,3,13853,24663
4,2377,微星,電腦及週邊設備業,上市,5,1906,20952
5,2449,京元電子,半導體業,上市,3,5744,19254
6,2484,希華,電子零組件業,上市,4,1588,18533
7,3706,神達,電腦及週邊設備業,上市,3,1601,17254
8,8033,雷虎,其他業,上市,5,830,16868
9,3042,晶技,電子零組件業,上市,3,6211,15418
10,2105,正新,橡膠工業,上市,3,12538,15101
11,3711,日月光投控,半導體業,上市,4,2349,13759
12,2886,兆豐金,金融保險業,上市,5,1827,11373
13,3605,宏致,電子零組件業,上市,4,3977,11025
14,1409,新纖,紡織纖維,上市,4,9240,10437
15,4989,榮科,電子零組件業,上市,3,7700,8588
16,1402,遠東新,紡織纖維,上市,4,819,6270
17,3413,京鼎,半導體業,上市,4,95,5543
18,3289,宜特,其他電子業,上櫃,4,3531,4849
19,1313,聯成,塑膠工業,上市,3,7212,4755
20,3227,原相,半導體業,上櫃,4,200,4647
21,3033,威健,電子通路業,上市,4,298,4541
22,6257,矽格,半導體業,上市,3,40,4305
23,2401,凌陽,半導體業,上市,3,6768,4292
24,3264,欣銓,半導體業,上櫃,3,2623,4197
25,1210,大成,食品工業,上市,4,3420,4159
26,2302,麗正,半導體業,上市,3,2137,3988
27,3055,蔚華科,電子通路業,上市,4,1468,3836
28,1304,台聚,塑膠工業,上市,4,2407,3811
29,2359,所羅門,其他電子業,上市,4,3340,3558
30,4526,東台,電機機械,上市,3,2164,3437
31,2515,中工,建材營造業,上市,3,2144,3414
32,2301,光寶科,電腦及週邊設備業,上市,4,782,3394
33,6202,盛群,半導體業,上市,4,1111,3301
34,5425,台半,半導體業,上櫃,4,2567,3086
35,2481,強茂,半導體業,上市,4,1259,2775
36,3017,奇鋐,電腦及週邊設備業,上市,4,1252,2461
37,6548,長科*,半導體業,上櫃,3,2703,2347
38,1709,和益,化學工業,上市,5,174,2249
39,1515,力山,電機機械,上市,3,515,2033
40,1305,華夏,塑膠工業,上市,4,1489,1989
41,2427,三商電,資訊服務業,上市,4,2029,1974
42,2466,冠西電,光電業,上市,5,604,1810
43,2395,研華,電腦及週邊設備業,上市,4,530,1769
44,1308,亞聚,塑膠工業,上市,4,822,1759
45,2467,志聖,電子零組件業,上市,3,469,1730
46,6164,華興,光電業,上市,4,578,1628
47,2345,智邦,通信網路業,上市,4,51,1595
48,1711,永光,化學工業,上市,4,626,1540
49,2404,漢唐,其他電子業,上市,4,1010,1485
50,3583,辛耘,半導體業,上市,5,87,1457
51,3230,錦明,光電業,上櫃,4,22,1455
52,4534,慶騰,電機機械,上櫃,4,1304,1413
53,2520,冠德,建材營造業,上市,4,311,1411
54,6525,捷敏-KY,半導體業,上市,4,1041,1407
55,4541,晟田,其他業,上櫃,3,228,1381
56,4533,協易機,電機機械,上櫃,4,1691,1368
57,1229,聯華,食品工業,上市,4,519,1349
58,1905,華紙,造紙工業,上市,3,1831,1345
59,6409,旭隼,其他電子業,上市,5,286,1323
60,4306,炎洲,塑膠工業,上市,3,975,1255
61,3689,湧德,電子零組件業,上櫃,4,705,1164
62,2436,偉詮電,半導體業,上市,3,1837,1152
63,6834,天二科技,電子零組件業,上市,3,366,1151
64,5381,合正,電子零組件業,上櫃,5,702,1077
65,3591,艾笛森,光電業,上市,4,366,1063
66,5285,界霖,半導體業,上市,4,514,996
67,3455,由田,光電業,上櫃,4,807,994
68,2480,敦陽科,資訊服務業,上市,4,298,984
69,5269,祥碩,半導體業,上市,5,265,982
70,1460,宏遠,紡織纖維,上市,4,540,979
71,6438,迅得,其他電子業,上市,4,33,950
72,3363,上詮,通信網路業,上櫃,4,228,944
73,3402,漢科,其他電子業,上櫃,4,385,926
74,6215,和椿,其他電子業,上市,4,819,911
75,2478,大毅,電子零組件業,上市,5,8,873
76,3665,貿聯-KY,其他電子業,上市,4,109,873
77,2204,中華,汽車工業,上市,3,29,872
78,3624,光頡,電子零組件業,上櫃,4,161,830
79,8935,邦泰,其他業,上櫃,5,433,817
80,1722,台肥,化學工業,上市,3,616,812
81,2342,茂矽,半導體業,上市,5,33,768
82,5488,松普,電子零組件業,上櫃,4,641,767
83,2527,宏璟,建材營造業,上市,4,12,754
84,2022,聚亨,鋼鐵工業,上市,4,215,751
85,3026,禾伸堂,電子零組件業,上市,5,126,710
86,6122,擎邦,電機機械,上櫃,5,469,695
87,1316,上曜,建材營造業,上市,4,368,655
88,5299,杰力,半導體業,上櫃,4,611,653
89,4908,前鼎,通信網路業,上櫃,4,141,652
90,2915,潤泰全,貿易百貨業,上市,3,269,628
91,3416,融程電,電腦及週邊設備業,上市,3,38,604
92,1907,永豐餘,造紙工業,上市,4,246,590
93,6669,緯穎,電腦及週邊設備業,上市,3,99,589
94,5536,聖暉*,其他電子業,上櫃,4,362,574
95,3645,達邁,電子零組件業,上市,4,125,549
96,3628,盈正,其他電子業,上櫃,3,464,542
97,6190,萬泰科,通信網路業,上櫃,3,165,542
98,4562,穎漢,電機機械,上市,3,565,540
99,3162,精確,電機機械,上櫃,3,749,536
100,6414,樺漢,電腦及週邊設備業,上市,5,100,512
