排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,CPO_光通訊,3.86,100.0,6/6,-10.1,6.22,-1.38,-28.35
2,軍工_航太製造與維修,9.24,100.0,6/6,6.65,10.02,0.0,0.17
3,造紙,2.91,100.0,7/7,1.82,2.33,0.04,0.33
4,塑膠,5.74,94.44,17/18,-9.53,47.65,6.83,27.35
5,化學,3.57,90.0,18/20,0.53,51.57,7.45,29.87
6,金融,5.32,89.47,17/19,-9.52,47.65,6.83,27.35
7,鋼鐵,1.17,86.67,13/15,4.19,-36.81,0.31,12.83
8,記憶體模組,0.96,85.71,6/7,3.57,-19.72,-11.64,-19.96
9,BBU_電池模組,1.72,85.71,6/7,-0.12,6.21,2.24,-2.83
10,銅,4.21,80.0,8/10,31.78,22.32,13.55,28.22
11,軟體設計,0.96,80.0,12/15,1.34,2.88,0.0,0.23
12,電器電纜,1.42,80.0,8/10,4.24,-11.43,-0.08,-1.47
13,BBU_電源供應器與整合,2.09,80.0,4/5,12.36,5.58,-11.38,-12.11
14,CPO_先進封裝測試,3.94,80.0,4/5,-11.86,10.72,15.53,16.03
15,航運,2.79,80.0,12/15,24.98,2.88,2.98,16.84
16,被動元件,3.27,78.95,15/19,-25.8,83.95,19.08,-94.4
17,軍工_無人機相關,4.4,77.78,7/9,-135.17,-152.5,-1.05,0.68
18,銀,1.42,75.0,3/4,-0.25,133.81,-1.13,-118.98
19,紡織,3.64,75.0,15/20,6.27,4.65,1.16,5.86
20,光學元件或組裝,2.17,73.33,11/15,-23.58,-28.49,-6.15,-46.04
21,PCB,2.79,73.33,11/15,-27.46,-327.13,30.69,73.14
22,低軌衛星,1.59,71.43,5/7,-8.72,-22.92,0.85,6.38
23,電池或電源,0.86,70.0,14/20,8.01,-9.86,-5.95,-6.5
24,網通設備組件,2.52,70.0,14/20,-175.4,-185.42,13.86,64.16
25,記憶體控制IC,-0.38,60.0,3/5,-11.98,-18.24,-1.29,0.79
26,無塵室與機電工程,2.8,60.0,3/5,-1.0,10.97,0.48,10.89
27,廠務系統與水處理,-0.58,57.14,4/7,-1.15,-2.88,-0.03,-0.26
28,玻璃,0.8,53.33,8/15,-48.23,-168.08,8.6,5.11
29,記憶體製造,-0.66,50.0,2/4,-81.79,-87.71,-48.08,-178.9
30,TPU_光通訊與連接器,1.4,50.0,2/4,-10.85,9.0,-1.21,-5.64
31,機器人,-0.46,42.86,6/14,6.74,8.42,-11.24,-11.8
32,半導體設備,-0.38,42.86,3/7,-0.27,6.78,-1.96,-16.55
33,TPU_伺服器主板與印刷電路板,2.04,40.0,2/5,-23.37,-136.46,28.48,44.57
34,工業自動化與機器人,-0.85,28.57,2/7,-0.59,4.42,-1.02,-2.75
35,記憶體封裝與測試,-0.7,25.0,1/4,4.58,13.54,-8.51,-13.52
36,TPU_散熱,-1.76,25.0,1/4,2.38,32.6,11.5,61.0
37,IC設計,-2.16,23.08,3/13,-181.83,-200.09,-20.56,-11.49
