排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,3.9,100.0,7/7,5.11,15.11,2.1,3.33
2,機器人,4.54,100.0,14/14,76.76,100.33,-0.68,-0.47
3,電器電纜,4.45,100.0,10/10,10.11,7.93,-0.06,-1.82
4,銅,6.85,100.0,10/10,36.22,60.31,11.19,30.21
5,銀,5.29,100.0,4/4,32.09,33.12,-0.22,-0.62
6,軟體設計,1.92,100.0,15/15,1.69,1.0,-0.0,-0.0
7,軍工_航太製造與維修,1.76,100.0,6/6,0.87,0.53,-0.12,-0.36
8,軍工_無人機相關,3.36,100.0,9/9,1.91,-22.63,-0.87,-11.38
9,記憶體製造,7.94,100.0,4/4,32.5,29.01,-1.24,-6.48
10,記憶體模組,8.38,100.0,7/7,-18.63,-122.98,-2.92,-7.56
11,記憶體控制IC,3.25,100.0,5/5,-16.02,-21.64,-0.04,-0.24
12,記憶體封裝與測試,7.75,100.0,4/4,8.29,-9.68,0.51,-0.93
13,被動元件,5.91,100.0,19/19,110.34,135.68,-3.91,-4.87
14,網通設備組件,5.41,100.0,20/20,22.37,-17.01,10.55,32.8
15,BBU_電源供應器與整合,7.34,100.0,5/5,77.1,102.01,-0.66,1.35
16,無塵室與機電工程,5.1,100.0,5/5,-11.1,-21.55,1.03,-7.56
17,電池或電源,4.37,100.0,20/20,85.62,122.39,1.31,2.61
18,TPU_光通訊與連接器,3.28,100.0,4/4,-33.6,-55.17,5.45,30.32
19,TPU_散熱,7.0,100.0,4/4,25.23,10.15,-0.96,5.52
20,CPO_先進封裝測試,9.76,100.0,5/5,16.52,15.46,-3.5,-16.51
21,IC設計,6.02,100.0,13/13,5.6,-26.11,-4.64,-15.88
22,半導體設備,6.74,100.0,7/7,6.09,10.75,0.28,1.18
23,TPU_伺服器主板與印刷電路板,7.77,100.0,5/5,77.77,33.65,11.03,45.17
24,工業自動化與機器人,4.81,100.0,7/7,9.26,10.58,-0.05,-0.81
25,鋼鐵,1.75,93.33,14/15,22.56,38.75,-0.1,-1.6
26,PCB,6.75,93.33,14/15,20.7,41.98,10.66,71.9
27,玻璃,4.95,93.33,14/15,64.26,54.98,7.03,40.89
28,光學元件或組裝,3.8,93.33,14/15,2.08,2.93,-2.13,14.1
29,廠務系統與水處理,2.86,85.71,6/7,1.58,1.72,0.23,0.91
30,CPO_光通訊,3.41,83.33,5/6,-20.83,-19.41,1.79,36.69
31,紡織,0.75,75.0,15/20,0.11,-4.44,-0.04,-0.1
32,低軌衛星,4.52,71.43,5/7,-52.97,-84.06,4.39,18.58
33,航運,1.22,66.67,10/15,-12.06,-15.08,-0.99,-1.36
34,化學,1.16,60.0,12/20,20.14,23.96,2.32,3.03
35,造紙,-1.26,28.57,2/7,-0.08,0.57,0.0,0.0
36,塑膠,-9.1,27.78,5/18,7.9,18.44,2.7,5.05
37,金融,-8.64,26.32,5/19,7.9,18.44,2.7,5.05
