股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2349,錸德,16.2,80.0%,64105,6.57
2406,國碩,27.0,33.33%,60332,4.86
2485,兆赫,28.8,23.61%,115374,4.67
2882,國泰金,70.2,5.41%,72929,1.64
2887,台新金,20.05,6.65%,435583,1.78
4927,泰鼎-KY,30.3,38.67%,34738,3.57
4971,IET-KY,300.5,61.13%,25768,4.25
5381,合正,26.45,10.67%,11690,1.94
5498,凱崴,33.8,25.19%,106949,2.75
5521,工信,22.25,48.83%,74534,4.77
6127,九豪,32.6,20.3%,39259,2.9
6133,金橋,22.25,18.04%,30413,6.21
6244,茂迪,22.4,34.53%,12975,3.9
6443,元晶,23.25,82.35%,27677,7.7
8074,鉅橡,42.6,21.54%,23428,3.63
