股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
2323,中環,11.1,18.21%,24626,4.34
2331,精英,26.1,24.29%,52860,5.6
2349,錸德,15.45,73.01%,41776,5.35
2413,環科,33.25,20.47%,15590,3.49
2441,超豐,83.8,19.89%,20262,5.16
2883,凱基金,17.15,9.58%,40444,1.6
3105,穩懋,183.0,29.79%,24064,2.61
4906,正文,29.4,13.29%,18675,2.45
4971,IET-KY,297.0,48.13%,11502,3.77
5498,凱崴,32.3,19.85%,45394,1.9
5521,工信,20.45,36.79%,27712,3.27
6127,九豪,30.95,17.23%,13820,1.63
6426,統新,107.0,32.92%,14910,6.9
8021,尖點,167.0,24.16%,47230,1.53
8110,華東,55.5,36.7%,200291,3.23
