股票代碼,公司名稱,突破日期,突破日股價,今日收盤價,今日至突破日漲跌幅,突破日成交量(張),20MA成交量(張),成交量倍數
3543,州巧,2026-07-31,30.5,33.05,8.36%,5518,1439,3.83
2006,東和鋼鐵,2026-07-31,73.4,74.6,1.63%,11141,3109,3.58
2511,太子,2026-07-31,8.22,8.6,4.62%,8540,2284,3.74
2540,愛山林,2026-07-31,59.0,61.0,3.39%,8193,1503,5.45
6214,精誠,2026-07-31,148.0,154.0,4.05%,8853,2064,4.29
6176,瑞儀,2026-07-31,83.8,82.3,-1.79%,20467,5736,3.57
6166,凌華,2026-07-31,132.5,113.0,-14.72%,15766,3999,3.94
6165,浪凡,2026-07-31,48.25,48.55,0.62%,6043,1074,5.62
8271,宇瞻,2026-07-30,217.5,223.0,2.53%,18618,5470,3.4
6226,光鼎,2026-07-30,23.7,19.6,-17.3%,40652,9872,4.12
5880,合庫金,2026-07-30,26.1,27.6,5.75%,70684,22368,3.16
4976,佳凌,2026-07-30,38.0,37.3,-1.84%,20536,3802,5.4
1526,日馳,2026-07-30,18.9,18.15,-3.97%,6782,1583,4.28
3504,揚明光,2026-07-30,70.7,68.5,-3.11%,10775,2085,5.17
3441,聯一光,2026-07-30,84.0,84.0,0.0%,37349,9446,3.95
3362,先進光,2026-07-30,173.5,172.0,-0.86%,24752,7061,3.51
3504,揚明光,2026-07-29,63.0,68.5,8.73%,6588,1598,4.12
4976,佳凌,2026-07-29,34.6,37.3,7.8%,13072,2878,4.54
3441,聯一光,2026-07-29,77.5,84.0,8.39%,58723,7623,7.7
3362,先進光,2026-07-29,159.5,172.0,7.84%,23151,6059,3.82
3260,威剛,2026-07-29,367.0,398.5,8.58%,31063,9121,3.41
6588,東典光電,2026-07-29,91.5,89.1,-2.62%,15061,1938,7.77
8111,立碁,2026-07-29,61.4,56.3,-8.31%,27496,6927,3.97
2540,愛山林,2026-07-29,56.2,61.0,8.54%,7932,966,8.21
8271,宇瞻,2026-07-29,210.0,223.0,6.19%,18407,4684,3.93
