排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,航運,1.22,60.0,9/15,46.4,154.31,0.09,1.22
2,TPU_光通訊與連接器,-0.19,50.0,2/4,-30.82,-29.59,26.83,31.94
3,金融,0.06,47.37,9/19,4.96,15.29,-4.6,-2.74
4,塑膠,-0.05,44.44,8/18,4.96,15.3,-4.6,-2.74
5,TPU_伺服器主板與印刷電路板,0.07,40.0,2/5,131.59,435.49,2.81,24.56
6,化學,-0.15,40.0,8/20,6.65,7.77,-4.65,-3.07
7,鋼鐵,-0.0,33.33,5/15,4.66,11.16,-1.07,-6.77
8,CPO_光通訊,-1.7,33.33,2/6,-21.28,-21.74,20.66,16.71
9,玻璃,-0.64,33.33,5/15,129.68,385.82,4.15,4.0
10,光學元件或組裝,-1.47,26.67,4/15,-33.16,3.58,46.07,52.44
11,TPU_散熱,-2.3,25.0,1/4,18.58,71.22,-6.14,20.17
12,銀,-3.17,25.0,1/4,-19.79,-214.07,-5.7,2.21
13,機器人,-2.2,21.43,3/14,-13.48,21.54,-8.11,-20.43
14,PCB,-1.63,20.0,3/15,89.46,333.77,5.81,80.99
15,銅,-1.07,20.0,2/10,22.26,50.26,-4.82,3.49
16,CPO_先進封裝測試,-4.51,20.0,1/5,-10.69,21.97,-6.13,-37.62
17,BBU_電源供應器與整合,-3.06,20.0,1/5,16.44,16.5,-1.06,-14.42
18,紡織,-0.53,20.0,4/20,-1.95,-14.13,0.15,0.77
19,軟體設計,-1.21,20.0,3/15,-1.3,0.95,2.31,2.31
20,軍工_航太製造與維修,-1.84,16.67,1/6,7.44,7.53,-0.01,-0.01
21,半導體設備,-2.95,14.29,1/7,4.77,12.93,-0.87,17.82
22,工業自動化與機器人,-2.4,14.29,1/7,-3.36,5.25,0.54,-0.51
23,電池或電源,-1.72,10.0,2/20,14.12,23.36,-0.26,-12.56
24,網通設備組件,-2.83,10.0,2/20,-6.36,145.88,-35.68,-130.21
25,IC設計,-4.44,7.69,1/13,8.5,164.08,-48.74,-156.93
26,記憶體封裝與測試,-3.35,0.0,0/4,-5.73,-16.35,-0.13,-4.85
27,記憶體控制IC,-4.99,0.0,0/5,-1.86,-0.2,0.02,0.01
28,記憶體模組,-3.6,0.0,0/7,-24.8,-104.98,-2.44,-15.56
29,記憶體製造,-4.21,0.0,0/4,-1.33,149.02,-19.04,-22.81
30,軍工_無人機相關,-3.26,0.0,0/9,-9.77,91.41,-42.26,-130.86
31,被動元件,-3.86,0.0,0/19,-27.92,-220.17,-12.64,-18.23
32,造紙,-1.16,0.0,0/7,-0.23,0.94,-0.0,0.0
33,無塵室與機電工程,-3.64,0.0,0/5,-7.81,8.6,-6.61,-15.45
34,廠務系統與水處理,-1.55,0.0,0/7,-0.65,-1.23,-0.01,-0.0
35,低軌衛星,-3.18,0.0,0/7,-7.83,-0.45,-4.53,-16.96
36,電器電纜,-1.7,0.0,0/10,-5.05,0.57,-0.0,0.28
37,BBU_電池模組,-3.91,0.0,0/7,1.56,4.63,0.29,0.82
