股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
2542,興富發,47.75,5,5481000,1096,47.8,44.5,7.42%
2610,華航,20.1,4,2749000,549,20.4,19.85,2.77%
2633,台灣高鐵,25.9,5,5661000,1132,26.2,25.7,1.95%
2855,統一證,46.85,5,2991000,598,48.5,46.3,4.75%
2883,凱基金,30.95,5,78374456,15674,31.75,30.55,3.93%
2884,玉山金,38.1,5,62059128,12411,38.4,36.3,5.79%
2886,兆豐金,46.9,5,41376887,8275,49.45,44.95,10.01%
2887,台新金,36.9,5,86294269,17258,37.8,35.1,7.69%
2890,永豐金,39.6,5,45692399,9138,40.95,38.75,5.68%
2892,第一金,33.7,4,45021117,9004,34.25,32.45,5.55%
5880,合庫金,24.95,4,30007061,6001,25.2,23.85,5.66%
