排名,族群,族群平均漲幅,族群上漲檔數(%),族群上漲檔數(數量),外資近一日總買超(億元),外資近三日總買超(億元),投信近一日總買超(億元),投信近三日總買超(億元)
1,BBU_電池模組,5.5,100.0,7/7,3.25,13.94,11.1,17.96
2,BBU_電源供應器與整合,6.2,100.0,5/5,31.52,8.14,10.9,20.72
3,銀,4.69,100.0,4/4,13.81,-71.49,8.73,-8.99
4,記憶體製造,8.18,100.0,4/4,195.5,165.24,12.03,16.7
5,記憶體封裝與測試,5.37,100.0,4/4,6.41,-0.19,0.08,1.71
6,玻璃,3.37,100.0,15/15,34.84,-48.46,7.51,51.69
7,CPO_先進封裝測試,6.1,100.0,5/5,6.76,2.1,0.86,-0.91
8,CPO_光通訊,7.74,100.0,6/6,-0.59,14.91,15.34,26.19
9,被動元件,5.13,94.74,18/19,33.5,-86.39,19.73,7.83
10,電池或電源,4.73,90.0,18/20,41.21,19.9,21.98,39.81
11,電器電纜,3.18,90.0,9/10,15.06,9.09,-0.02,-0.62
12,鋼鐵,1.44,86.67,13/15,11.41,36.53,6.17,8.79
13,半導體設備,2.9,85.71,6/7,3.66,5.32,0.34,-1.07
14,工業自動化與機器人,3.72,85.71,6/7,0.44,18.22,-4.63,-12.04
15,PCB,3.1,80.0,12/15,-41.93,-231.77,-28.21,58.68
16,記憶體控制IC,3.08,80.0,4/5,9.6,31.18,0.0,-0.37
17,TPU_伺服器主板與印刷電路板,3.01,80.0,4/5,12.13,-15.27,-16.22,-7.12
18,光學元件或組裝,4.41,80.0,12/15,21.39,41.36,15.4,27.89
19,機器人,3.5,78.57,11/14,35.05,27.48,6.33,8.05
20,網通設備組件,3.79,75.0,15/20,60.4,140.2,11.2,53.39
21,TPU_光通訊與連接器,5.09,75.0,3/4,-26.94,-34.99,17.53,42.65
22,低軌衛星,3.57,71.43,5/7,-23.63,-46.77,-1.7,4.13
23,化學,2.2,70.0,14/20,-43.99,-47.75,0.82,4.11
24,IC設計,1.4,69.23,9/13,34.78,2.66,-2.41,-2.32
25,軍工_無人機相關,0.65,66.67,6/9,55.29,19.3,-4.06,-16.22
26,紡織,1.29,65.0,13/20,-2.21,0.65,0.1,0.68
27,銅,2.06,60.0,6/10,-34.23,-120.4,-3.09,41.82
28,造紙,1.34,57.14,4/7,1.4,2.4,0.0,0.0
29,航運,-0.48,53.33,8/15,17.05,39.49,1.47,5.32
30,軍工_航太製造與維修,0.31,50.0,3/6,-2.75,-5.02,-0.01,-0.82
31,塑膠,0.26,50.0,9/18,-47.91,-62.63,0.65,1.88
32,金融,0.12,47.37,9/19,-47.91,-62.64,0.65,1.88
33,記憶體模組,0.14,42.86,3/7,-41.23,23.11,-1.78,-17.22
34,廠務系統與水處理,0.29,42.86,3/7,-1.49,-2.61,0.06,0.06
35,軟體設計,-0.18,40.0,6/15,-0.69,-1.36,0.0,0.0
36,無塵室與機電工程,-0.01,40.0,2/5,-10.01,-7.07,0.17,-2.86
37,TPU_散熱,0.26,25.0,1/4,-27.05,45.52,11.24,67.64
