股票代碼,公司名稱,符合策略數,符合策略
2332,友訊,4,"外資買超, 大戶持有, 強勢股, 盤整突破"
6182,合晶,3,"外資買超, 強勢股, 隔日衝"
3045,台灣大,3,"外資買超, 投信連續, 盤整突破"
1709,和益,3,"外資買超, 強勢股, 盤整突破"
5475,德宏,3,"外資買超, 大戶持有, 盤整突破"
3374,精材,2,"大戶持有, 隔日衝"
2891,中信金,2,"外資買超, 投信連續"
2610,華航,2,"外資買超, 投信連續"
2634,漢翔,2,"外資買超, 強勢股"
5351,鈺創,2,"外資買超, 大戶持有"
6505,台塑化,2,"外資買超, 強勢股"
2313,華通,2,"外資買超, 投信連續"
3033,威健,2,"外資買超, 盤整突破"
3704,合勤控,2,"外資買超, 盤整突破"
2377,微星,2,"外資買超, 投信連續"
2359,所羅門,2,"外資買超, 盤整突破"
2412,中華電,2,"投信連續, 盤整突破"
1810,和成,2,"強勢股, 盤整突破"
2889,國票金,2,"強勢股, 盤整突破"
5488,松普,2,"強勢股, 盤整突破"
6477,安集,2,"大戶持有, 盤整突破"
3605,宏致,2,"大戶持有, 盤整突破"
3211,順達,2,"大戶持有, 盤整突破"
