股票代碼,公司名稱,符合策略數,符合策略
8028,昇陽半導體,3,"外資買超, 大戶持有, 強勢股"
1605,華新,2,"外資買超, 投信連續"
2327,國巨,2,"外資買超, 投信連續"
6116,彩晶,2,"外資買超, 強勢股"
5351,鈺創,2,"外資買超, 強勢股"
2882,國泰金,2,"外資買超, 投信連續"
3231,緯創,2,"外資買超, 投信連續"
3189,景碩,2,"外資買超, 大戶持有"
6187,萬潤,2,"外資買超, 盤整突破"
3357,臺慶科,2,"外資買超, 盤整突破"
3680,家登,2,"外資買超, 大戶持有"
3260,威剛,2,"外資買超, 大戶持有"
6531,愛普*,2,"外資買超, 大戶持有"
4749,新應材,2,"外資買超, 大戶持有"
1711,永光,2,"強勢股, 盤整突破"
3006,晶豪科,2,"大戶持有, 強勢股"
3481,群創,2,"強勢股, 盤整突破"
3689,湧德,2,"大戶持有, 強勢股"
4130,健亞,2,"大戶持有, 盤整突破"
3455,由田,2,"大戶持有, 盤整突破"
3624,光頡,2,"大戶持有, 盤整突破"
3402,漢科,2,"大戶持有, 盤整突破"
6233,旺玖,2,"大戶持有, 盤整突破"
1721,三晃,2,"大戶持有, 盤整突破"
