股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1711,永光,21.6,15.51%,20380,3.93
1717,長興,50.7,26.59%,83779,2.73
1727,中華化,48.65,17.09%,27399,2.18
2344,華邦電,104.0,45.86%,403567,1.58
2451,創見,216.5,23.36%,23633,3.27
3006,晶豪科,144.5,79.28%,12928,1.83
3090,日電貿,108.0,14.16%,18100,1.88
3481,群創,21.85,72.05%,1042548,6.53
4720,德淵,18.6,29.62%,18233,6.93
4967,十銓,203.0,49.26%,32762,1.95
5351,鈺創,62.8,59.39%,83599,3.41
6116,彩晶,9.65,29.53%,41239,4.05
6127,九豪,38.65,17.84%,16504,2.39
6188,廣明,116.5,15.92%,15544,3.02
6239,力成,204.0,28.3%,38510,1.82
6548,長科*,47.8,19.8%,24358,2.4
8131,福懋科,67.8,32.42%,24389,2.47
8150,南茂,51.5,16.65%,58952,1.65
2489,瑞軒,17.3,17.29%,28594,2.62
