股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,37.7,5,60583322,12116,38.0,36.3,4.68%
1216,統一,77.4,4,27193361,5438,80.5,76.2,5.64%
1605,華新,32.9,5,10510456,2102,34.85,31.35,11.16%
2027,大成鋼,35.85,4,30980000,6196,36.35,34.8,4.45%
2357,華碩,555.0,4,5639499,1127,563.0,535.0,5.23%
2376,技嘉,259.0,4,10684770,2136,259.0,233.0,11.16%
2603,長榮,193.0,5,10952332,2190,194.5,188.0,3.46%
2884,玉山金,34.1,5,186524838,37304,34.15,33.2,2.86%
2887,台新金,20.4,5,157828907,31565,20.95,20.2,3.71%
3045,台灣大,108.0,5,33523793,6704,111.5,107.0,4.21%
4915,致伸,76.6,4,5399312,1079,77.8,76.1,2.23%
5483,中美晶,110.5,5,4240880,848,112.0,100.0,12.00%
6188,廣明,109.5,5,7044000,1408,111.5,100.5,10.95%
6488,環球晶,403.0,5,6127216,1225,421.0,383.5,9.78%
8069,元太,201.0,4,9978301,1995,201.5,185.5,8.63%
9907,統一實,17.85,4,8026216,1605,18.45,17.75,3.94%
