排名,股票代碼,公司產業,公司名稱,大戶持有比例差,大戶增加比例(%),第一天開盤價,期間最高價,期間最低價,最後一天收盤價,周漲幅
1,2329,半導體業,華泰,8.4,18.8,54.4,59.5,54.1,55.9,2.8
2,3006,半導體業,晶豪科,7.4,17.2,98.2,129.5,96.6,129.5,31.9
3,4304,塑膠工業,勝昱,11.4,15.8,30.0,35.3,29.4,31.75,5.8
4,3689,電子零組件類,湧德,4.3,14.7,113.0,127.0,111.0,127.0,12.4
5,3027,通信網路業,盛達,6.2,14.5,23.2,23.4,22.5,22.65,-2.4
6,3624,電子零組件類,光頡,5.0,10.5,52.7,64.2,51.7,64.2,21.8
7,8021,其他電子業,尖點,3.6,9.8,174.5,196.0,167.0,189.5,8.6
8,6265,電子通路類,方土昶,5.0,9.3,23.25,35.3,23.25,33.45,43.9
9,3043,其他電子業,科風,1.4,9.0,21.4,22.15,21.0,22.0,2.8
10,3321,電子工業,同泰,3.9,8.9,18.7,18.7,16.5,18.6,-0.5
11,3455,光電業類,由田,2.3,8.6,92.0,123.5,90.8,119.5,29.9
12,6531,半導體業,愛普*,5.1,8.5,420.0,467.5,402.5,458.5,9.2
13,8028,半導體業,昇陽半導體,2.6,7.9,176.0,188.0,169.5,186.5,6.0
14,6530,通信網路類,創威,1.1,7.9,66.2,66.5,61.3,62.4,-5.7
15,3666,光電業類,光耀,5.8,7.7,32.55,33.15,32.1,32.85,0.9
16,3260,半導體類,威剛,4.3,7.6,225.0,286.0,219.0,280.5,24.7
17,3518,其他電子業,柏騰,2.8,7.4,21.4,22.0,20.9,21.55,0.7
18,1721,化學工業,三晃,2.6,7.2,12.95,18.15,12.75,17.35,34.0
19,3264,半導體類,欣銓,4.1,6.2,96.6,131.5,96.2,126.5,31.0
20,3167,電機機械,大量,3.2,6.2,227.0,253.5,226.5,231.5,2.0
21,6233,半導體類,旺玖,1.4,5.9,21.7,26.6,21.7,25.3,16.6
22,1815,電子零組件類,富喬,2.7,5.8,92.3,101.5,90.6,90.7,-1.7
23,2337,半導體業,旺宏,2.1,5.7,39.55,43.35,38.0,43.35,9.6
24,6588,通信網路類,東典光電,2.1,5.4,51.1,51.7,46.35,51.7,1.2
25,7728,其他電子類,光焱科技,3.1,5.4,426.0,607.0,406.0,607.0,42.5
26,4749,半導體類,新應材,1.9,5.4,825.0,945.0,809.0,940.0,13.9
27,3406,光電業,玉晶光,2.6,5.3,426.0,457.5,421.0,437.5,2.7
28,5289,電腦及週邊類,宜鼎,2.2,5.0,519.0,595.0,501.0,595.0,14.6
29,4989,電子工業,榮科,2.1,5.0,47.45,57.4,46.15,54.3,14.4
30,3402,其他電子類,漢科,1.6,5.0,123.5,145.0,119.5,142.5,15.4
31,6243,半導體業,迅杰,1.2,4.9,38.2,39.5,36.65,37.3,-2.4
32,4973,半導體類,廣穎,1.4,4.8,38.5,40.45,37.1,39.65,3.0
33,6130,生技醫療類,上亞科技,2.7,4.6,45.4,46.6,43.0,45.3,-0.2
34,6485,半導體類,點序,0.8,4.4,73.1,86.1,73.1,86.1,17.8
35,8277,半導體類,商丞,0.7,4.4,9.45,9.55,9.05,9.36,-1.0
36,6432,電子零組件類,今展科,1.4,4.3,34.0,35.25,32.65,35.05,3.1
37,3430,化學工業,奇鈦科,1.6,4.2,60.3,67.4,59.4,67.4,11.8
38,3450,半導體業,聯鈞,1.2,4.2,268.0,287.5,260.5,273.0,1.9
39,6654,其他電子類,天正國際,2.8,3.9,86.0,87.1,80.4,85.0,-1.2
40,3189,半導體業,景碩,2.6,3.8,145.5,167.0,144.5,156.0,7.2
41,8038,電子零組件類,長園科,0.7,3.3,45.35,49.85,44.85,49.0,8.0
42,3498,其他電子類,陽程,1.3,3.2,48.8,52.7,48.3,51.4,5.3
43,3661,半導體業,世芯-KY,1.1,3.2,3215.0,3745.0,3180.0,3635.0,13.1
44,3047,通信網路業,訊舟,0.6,3.2,18.8,18.9,18.1,18.15,-3.5
45,4130,生技醫療類,健亞,1.2,3.1,26.35,28.65,26.15,27.65,4.9
46,2485,通信網路業,兆赫,0.8,3.1,28.8,29.3,25.55,25.55,-11.3
47,3363,通信網路類,上詮,1.4,3.0,428.5,468.5,406.5,453.5,5.8
48,3011,電子工業,今皓,0.9,2.9,14.8,15.8,14.65,14.7,-0.7
49,3680,半導體類,家登,1.5,2.9,316.5,387.0,313.0,371.0,17.2
50,4133,化學生技醫療,亞諾法,0.7,2.9,23.0,23.0,22.5,22.6,-1.7
