股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,35.1,5,5868523,1173,35.35,34.3,3.06%
2027,大成鋼,50.2,5,11300000,2260,50.8,47.85,6.17%
2313,華通,249.5,5,7893000,1578,259.5,236.0,9.96%
2353,宏碁,32.7,5,7020039,1404,33.05,30.55,8.18%
2382,廣達,345.0,5,4681049,936,347.0,326.0,6.44%
2481,強茂,156.0,4,4378000,875,162.5,146.0,11.30%
2542,興富發,48.55,5,11625000,2325,48.75,46.5,4.84%
2603,長榮,233.0,4,2836377,567,240.0,228.5,5.03%
2610,華航,20.45,5,4668000,933,20.65,20.1,2.74%
2618,長榮航,42.5,5,10933145,2186,42.95,41.45,3.62%
2801,彰銀,26.6,4,10906896,2181,26.9,24.65,9.13%
2855,統一證,50.7,5,5078139,1015,51.2,47.75,7.23%
2882,國泰金,115.0,5,14015947,2803,115.0,105.5,9.00%
2884,玉山金,43.55,5,17231833,3446,43.55,38.5,13.12%
2890,永豐金,42.85,4,10840011,2168,43.15,39.6,8.96%
2891,中信金,68.4,5,21701355,4340,68.4,63.5,7.72%
3045,台灣大,118.0,5,2805481,561,118.0,113.5,3.96%
3706,神達,92.5,5,2849600,569,95.8,91.3,4.93%
4938,和碩,95.4,5,4598692,919,95.5,87.7,8.89%
