股票代碼,公司名稱,符合策略數,符合策略
2375,凱美,3,"外資買超, 大戶持有, 強勢股"
3362,先進光,3,"外資買超, 強勢股, 盤整突破"
6182,合晶,2,"盤整突破, 隔日衝"
2834,臺企銀,2,"外資買超, 隔日衝"
2618,長榮航,2,"外資買超, 強勢股"
2610,華航,2,"外資買超, 強勢股"
2890,永豐金,2,"外資買超, 強勢股"
2606,裕民,2,"外資買超, 盤整突破"
6269,台郡,2,"外資買超, 強勢股"
2478,大毅,2,"外資買超, 強勢股"
2382,廣達,2,"外資買超, 投信連續"
8021,尖點,2,"外資買超, 大戶持有"
3042,晶技,2,"外資買超, 大戶持有"
2542,興富發,2,"強勢股, 投信連續"
1907,永豐餘,2,"強勢股, 盤整突破"
2305,全友,2,"強勢股, 盤整突破"
2332,友訊,2,"強勢股, 盤整突破"
2342,茂矽,2,"強勢股, 盤整突破"
2425,承啟,2,"強勢股, 盤整突破"
3532,台勝科,2,"強勢股, 盤整突破"
3630,新鉅科,2,"強勢股, 盤整突破"
4976,佳凌,2,"強勢股, 盤整突破"
5328,華容,2,"大戶持有, 強勢股"
6209,今國光,2,"強勢股, 盤整突破"
6517,保勝光學,2,"強勢股, 盤整突破"
8042,金山電,2,"強勢股, 盤整突破"
8043,蜜望實,2,"大戶持有, 強勢股"
4721,美琪瑪,2,"大戶持有, 盤整突破"
