股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1210,大成,55.1,5,9560000,1912,55.9,54.5,2.57%
1402,遠東新,28.8,4,43438767,8687,29.15,26.7,9.18%
2006,東和鋼鐵,69.6,5,2664132,532,70.5,66.0,6.82%
2382,廣達,374.0,5,28945066,5789,386.5,358.0,7.96%
2542,興富發,45.45,4,11530000,2306,47.1,44.3,6.32%
2633,台灣高鐵,26.15,5,13056404,2611,26.6,25.3,5.14%
2886,兆豐金,45.1,4,27139866,5427,45.45,42.65,6.57%
2903,遠百,24.15,4,3149000,629,24.3,23.0,5.65%
2912,統一超,229.0,5,3567189,713,232.0,225.0,3.11%
4915,致伸,76.0,5,5729614,1145,78.8,74.0,6.49%
5871,中租-KY,115.0,4,10399519,2079,123.0,114.0,7.89%
