股票代碼,公司名稱,收盤價,近10日漲幅,成交量(張),量能比
1582,信錦,117.0,25.13%,24977,1.57
2027,大成鋼,40.0,5.96%,25955,1.67
2303,聯電,113.0,35.98%,273826,2.01
2412,中華電,142.5,4.78%,52962,1.63
2478,大毅,96.3,24.9%,23925,2.68
2481,強茂,135.0,32.35%,98492,2.26
2881,富邦金,97.2,5.42%,36306,1.59
3019,亞光,149.5,4.55%,12532,1.87
3033,威健,48.8,26.59%,26850,2.49
3045,台灣大,116.5,5.43%,26432,1.87
3055,蔚華科,124.0,57.36%,15226,4.93
3090,日電貿,162.5,48.4%,32596,3.51
3624,光頡,91.2,66.73%,41021,5.16
3673,TPK-KY,75.4,20.64%,31020,2.84
5425,台半,85.6,32.51%,26203,2.5
